case 1:	Cc = 1.2;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.581338115852507;
case 2:	Cc = 1.1;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.620937971001332;
case 3:	Cc = 1.06;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.63874148806135;
case 4:	Cc = 1.05;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.643392287493778;
case 5:	Cc = 1.04;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.648127593939526;
case 6:	Cc = 1.03;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.652949830522797;
case 7:	Cc = 1.02;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.657861515066906;
case 8:	Cc = 1.01;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.662865264792018;
case 9:	Cc = 1;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.667963801296259;
case 10:	Cc = 0.99;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.673159955840383;
case 11:	Cc = 0.98;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.678456674957857;
case 12:	Cc = 0.97;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.683857026414029;
case 13:	Cc = 0.9;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.724847465766739;
case 14:	Cc = 0.8;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.795233656032212;
case 15:	Cc = 0.7;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 0.884851298044873;
case 16:	Cc = 0.6;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 1.00326128477802;
case 17:	Cc = 0.55;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 1.07550489711638;
case 18:	Cc = 0.5;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 1.15822912454367;
case 19:	Cc = 0.4;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 1.37562590086347;
case 20:	Cc = 0.3;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 1.72106174708906;
case 21:	Cc = 0.2;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 2.37752155102254;
case 22:	Cc = 0.1;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 4.21133438353884;
case 23:	Cc = 0.1;	calculated K0c is within K01+-DK01 = 5+-5 = (0, 10);	calculated K0c = 4.21133438353884;
