#filename: BrooksDonnelly_RhoVsTP_3d.dat
#from HeliumDensities.ods Sheet 5
#Density (kg m^-3)		
#T (K)	P (bar)	Rho (kg m^-3)
0.15	12.665625	161.57
0.20	12.665625	161.57
0.25	12.665625	161.57
0.30	12.665625	161.57
0.35	12.665625	161.57
0.40	12.665625	161.57
0.45	12.665625	161.57
0.50	12.665625	161.57
0.55	12.665625	161.57
0.60	12.665625	161.57
0.65	12.665625	161.57
0.70	12.665625	161.57
0.75	12.665625	161.57
0.80	12.665625	161.57
0.85	12.665625	161.57
0.90	12.665625	161.58
0.95	12.665625	161.58
1.00	12.665625	161.59
1.05	12.665625	161.60
1.10	12.665625	161.61
1.15	12.665625	161.63
1.20	12.665625	161.65
1.25	12.665625	161.68
1.30	12.665625	161.71
1.35	12.665625	161.75
1.40	12.665625	161.80
1.45	12.665625	161.85
1.50	12.665625	161.92
1.55	12.665625	162.01
1.60	12.665625	162.11
1.65	12.665625	162.23
1.70	12.665625	162.37
1.75	12.665625	162.54
1.80	12.665625	162.74
1.85	12.665625	162.97
1.90	12.665625	163.23
1.95	12.665625	163.57

0.10	15.198750	164.03
0.15	15.198750	164.03
0.20	15.198750	164.03
0.25	15.198750	164.03
0.30	15.198750	164.03
0.35	15.198750	164.03
0.40	15.198750	164.03
0.45	15.198750	164.03
0.50	15.198750	164.03
0.55	15.198750	164.03
0.60	15.198750	164.03
0.65	15.198750	164.03
0.70	15.198750	164.03
0.75	15.198750	164.03
0.80	15.198750	164.03
0.85	15.198750	164.03
0.90	15.198750	164.04
0.95	15.198750	164.04
1.00	15.198750	164.05
1.05	15.198750	164.06
1.10	15.198750	164.08
1.15	15.198750	164.10
1.20	15.198750	164.12
1.25	15.198750	164.15
1.30	15.198750	164.19
1.35	15.198750	164.23
1.40	15.198750	164.29
1.45	15.198750	164.36
1.50	15.198750	164.44
1.55	15.198750	164.53
1.60	15.198750	164.65
1.65	15.198750	164.78
1.70	15.198750	164.95
1.75	15.198750	165.14
1.80	15.198750	165.36
1.85	15.198750	165.64
1.90	15.198750	165.96
1.95	15.198750	166.41

0.10	17.731875	166.33
0.15	17.731875	166.33
0.20	17.731875	166.33
0.25	17.731875	166.33
0.30	17.731875	166.33
0.35	17.731875	166.33
0.40	17.731875	166.33
0.45	17.731875	166.33
0.50	17.731875	166.33
0.55	17.731875	166.33
0.60	17.731875	166.33
0.65	17.731875	166.33
0.70	17.731875	166.33
0.75	17.731875	166.33
0.80	17.731875	166.33
0.85	17.731875	166.33
0.90	17.731875	166.34
0.95	17.731875	166.34
1.00	17.731875	166.35
1.05	17.731875	166.36
1.10	17.731875	166.38
1.15	17.731875	166.40
1.20	17.731875	166.43
1.25	17.731875	166.47
1.30	17.731875	166.51
1.35	17.731875	166.56
1.40	17.731875	166.63
1.45	17.731875	166.70
1.50	17.731875	166.80
1.55	17.731875	166.91
1.60	17.731875	167.04
1.65	17.731875	167.19
1.70	17.731875	167.38
1.75	17.731875	167.60
1.80	17.731875	167.86
1.85	17.731875	168.18
1.90	17.731875	168.60

0.10	20.265000	168.49
0.15	20.265000	168.49
0.20	20.265000	168.49
0.25	20.265000	168.49
0.30	20.265000	168.49
0.35	20.265000	168.49
0.40	20.265000	168.49
0.45	20.265000	168.49
0.50	20.265000	168.49
0.55	20.265000	168.49
0.60	20.265000	168.49
0.65	20.265000	168.49
0.70	20.265000	168.49
0.75	20.265000	168.49
0.80	20.265000	168.49
0.85	20.265000	168.49
0.90	20.265000	168.50
0.95	20.265000	168.51
1.00	20.265000	168.52
1.05	20.265000	168.53
1.10	20.265000	168.55
1.15	20.265000	168.58
1.20	20.265000	168.61
1.25	20.265000	168.65
1.30	20.265000	168.70
1.35	20.265000	168.76
1.40	20.265000	168.83
1.45	20.265000	168.92
1.50	20.265000	169.03
1.55	20.265000	169.16
1.60	20.265000	169.31
1.65	20.265000	169.49
1.70	20.265000	169.71
1.75	20.265000	169.97
1.80	20.265000	170.28
1.85	20.265000	170.70

0.10	22.798125	170.53
0.15	22.798125	170.53
0.20	22.798125	170.53
0.25	22.798125	170.53
0.30	22.798125	170.53
0.35	22.798125	170.53
0.40	22.798125	170.53
0.45	22.798125	170.53
0.50	22.798125	170.53
0.55	22.798125	170.53
0.60	22.798125	170.53
0.65	22.798125	170.53
0.70	22.798125	170.53
0.75	22.798125	170.53
0.80	22.798125	170.53
0.85	22.798125	170.54
0.90	22.798125	170.54
0.95	22.798125	170.55
1.00	22.798125	170.56
1.05	22.798125	170.58
1.10	22.798125	170.60
1.15	22.798125	170.63
1.20	22.798125	170.66
1.25	22.798125	170.71
1.30	22.798125	170.77
1.35	22.798125	170.83
1.40	22.798125	170.92
1.45	22.798125	171.02
1.50	22.798125	171.14
1.55	22.798125	171.29
1.60	22.798125	171.46
1.65	22.798125	171.68
1.70	22.798125	171.93
1.75	22.798125	172.25
1.80	22.798125	172.63
1.85	22.798125	173.17

0.10	25.331250	172.46
0.15	25.331250	172.46
0.20	25.331250	172.46
0.25	25.331250	172.46
0.30	25.331250	172.46
0.35	25.331250	172.46
0.40	25.331250	172.46
0.45	25.331250	172.46
0.50	25.331250	172.46
0.55	25.331250	172.46
0.60	25.331250	172.46
0.65	25.331250	172.46
0.70	25.331250	172.46
0.75	25.331250	172.47
0.80	25.331250	172.47
0.85	25.331250	172.47
0.90	25.331250	172.48
0.95	25.331250	172.49
1.00	25.331250	172.51
1.05	25.331250	172.52
1.10	25.331250	172.55
1.15	25.331250	172.58
1.20	25.331250	172.62
1.25	25.331250	172.67
1.30	25.331250	172.73
1.35	25.331250	172.82
1.40	25.331250	172.91
1.45	25.331250	173.03
1.50	25.331250	173.17
1.55	25.331250	173.35
1.60	25.331250	173.56
1.65	25.331250	173.82
1.70	25.331250	174.13
1.75	25.331250	174.57
1.80	25.331250	175.12
