# Filename: vlt_FPquench_vst_T_0.85_0.1_P_00.050_lmax1_dl0.0008_tmax10000_dt04e-09.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=0.85, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=1, lsteps=1250, (dl=0.0008), lpts=1251, ldatamax=250, tmax=10000, dt0=4e-09, a0=1, a06=1, THETA=0.6, CONST=1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	vldens
0	0	0.85	0.15	1	0.655994	1.88624	0.69391	2.50152e-05	0.0863867
1	4e-09	0.1	0.9	1	1.68825	0.571103	0.0816364	2.52076e-05	0.0863857
2	8e-09	0.1	0.9	1	1.68825	0.571103	0.0816364	2.52367e-05	0.0863857
3	1.2e-08	0.1	0.9	1	1.68825	0.571103	0.210097	2.52615e-05	0.0863857
4	1.6e-08	0.1	0.9	1	1.68824	0.571102	0.210097	2.52832e-05	0.0863857
6	2.4e-08	0.1	0.9	1	1.68824	0.571102	0.210097	2.53207e-05	0.0863857
8	3.2e-08	0.1	0.9	1	1.68824	0.571101	0.210097	2.5353e-05	0.0863856
10	4e-08	0.1	0.9	1	1.68824	0.5711	0.210097	2.53816e-05	0.0863856
12	4.8e-08	0.1	0.9	1	1.68824	0.571099	0.210097	2.54077e-05	0.0863856
14	5.6e-08	0.1	0.9	1	1.68823	0.571099	0.210097	2.54319e-05	0.0863855
17	6.8e-08	0.1	0.9	1	1.68823	0.571098	0.210097	2.54651e-05	0.0863855
20	8e-08	0.1	0.9	1	1.68823	0.571097	0.210097	2.54957e-05	0.0863854
24	9.6e-08	0.1	0.9	1	1.68822	0.571095	0.210097	2.55332e-05	0.0863853
28	1.12e-07	0.1	0.9	1	1.68822	0.571094	0.210094	2.55678e-05	0.0863853
32	1.28e-07	0.1	0.9	1	1.68821	0.571092	0.210094	2.56001e-05	0.0863852
37	1.48e-07	0.1	0.9	1	1.68821	0.57109	0.210094	2.56377e-05	0.0863851
43	1.72e-07	0.1	0.9	1	1.6882	0.571088	0.210094	2.56798e-05	0.086385
49	1.96e-07	0.1	0.9	1	1.6882	0.571086	0.210094	2.57192e-05	0.0863849
56	2.24e-07	0.1	0.9	1	1.68819	0.571083	0.210094	2.57622e-05	0.0863847
64	2.56e-07	0.1	0.9	1	1.68818	0.57108	0.210094	2.58083e-05	0.0863846
73	2.92e-07	0.1	0.9	1	1.68817	0.571077	0.210094	2.5857e-05	0.0863844
83	3.32e-07	0.1	0.9	1	1.68816	0.571073	0.210094	2.59077e-05	0.0863842
94	3.76e-07	0.1	0.9	1	1.68815	0.571069	0.210094	2.59602e-05	0.086384
107	4.28e-07	0.1	0.9	1	1.68813	0.571065	0.210094	2.60185e-05	0.0863838
121	4.84e-07	0.1	0.9	1	1.68812	0.57106	0.210094	2.60777e-05	0.0863835
137	5.48e-07	0.1	0.9	1	1.6881	0.571054	0.210094	2.61413e-05	0.0863832
155	6.2e-07	0.1	0.9	1	1.68808	0.571047	0.210094	2.62087e-05	0.0863829
175	7e-07	0.1	0.9	1	1.68806	0.57104	0.210094	2.62794e-05	0.0863825
197	7.88e-07	0.1	0.9	1	1.68803	0.571032	0.210094	2.63528e-05	0.0863821
222	8.88e-07	0.1	0.9	1	1.68801	0.571023	0.210094	2.64316e-05	0.0863816
250	1e-06	0.1	0.9	1	1.68798	0.571012	0.210094	2.65149e-05	0.0863811
282	1.128e-06	0.1	0.9	1	1.68794	0.571001	0.210064	2.66048e-05	0.0863805
318	1.272e-06	0.1	0.9	1	1.6879	0.570987	0.210064	2.67004e-05	0.0863798
357	1.428e-06	0.1	0.9	1	1.68786	0.570973	0.210064	2.67983e-05	0.0863791
402	1.608e-06	0.1	0.9	1	1.68781	0.570957	0.210064	2.69052e-05	0.0863782
452	1.808e-06	0.1	0.9	1	1.68776	0.570938	0.210064	2.70175e-05	0.0863773
508	2.032e-06	0.1	0.9	1	1.6877	0.570918	0.210064	2.71365e-05	0.0863763
572	2.288e-06	0.1	0.9	1	1.68763	0.570895	0.210064	2.72653e-05	0.0863751
642	2.568e-06	0.1	0.9	1	1.68755	0.570869	0.210064	2.73987e-05	0.0863738
722	2.888e-06	0.1	0.9	1	1.68747	0.57084	0.210064	2.75431e-05	0.0863723
811	3.244e-06	0.1	0.9	1	1.68737	0.570807	0.210064	2.76953e-05	0.0863707
911	3.644e-06	0.1	0.9	1	1.68726	0.570771	0.210064	2.78574e-05	0.0863689
1023	4.092e-06	0.1	0.9	1	1.68714	0.57073	0.210064	2.80295e-05	0.0863669
1149	4.596e-06	0.1	0.9	1	1.68701	0.570684	0.210064	2.82132e-05	0.0863646
1290	5.16e-06	0.1	0.9	1	1.68685	0.570632	0.210064	2.84083e-05	0.0863621
1449	5.796e-06	0.1	0.9	1	1.68668	0.570575	0.210064	2.86171e-05	0.0863592
1627	6.508e-06	0.1	0.9	1	1.68649	0.57051	0.210064	2.8839e-05	0.086356
1826	7.304e-06	0.1	0.9	1	1.68628	0.570437	0.210064	2.90747e-05	0.0863525
2050	8.2e-06	0.1	0.9	1	1.68604	0.570356	0.210064	2.93268e-05	0.0863485
