# Filename: 2DKT_FPquench_inject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst1_dGdl0-0.001.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 May 11 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1, dGdl0=-0.001, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.746055	0.997596	0.000586629
1	0	0.08	0.744071	0.994942	0.000556756
1	0	0.12	0.741865	0.991993	0.000532245
1	0	0.16	0.739397	0.988693	0.000512189
1	0	0.2	0.736621	0.984981	0.000495842
1	0	0.24	0.733484	0.980786	0.000482594
1	0	0.28	0.729925	0.976027	0.000471947
1	0	0.32	0.725874	0.97061	0.000463497
1	0	0.36	0.721251	0.964429	0.000456919
1	0	0.4	0.715967	0.957364	0.000451951
1	0	0.44	0.709921	0.949279	0.000448391
1	0	0.48	0.702999	0.940023	0.000446082
1	0	0.52	0.695076	0.929429	0.000444911
1	0	0.56	0.686016	0.917314	0.0004448
1	0	0.6	0.675671	0.903482	0.000445704
1	0	0.64	0.663886	0.887722	0.000447608
1	0	0.68	0.650499	0.869821	0.000450526
1	0	0.72	0.635348	0.849563	0.000454497
1	0	0.76	0.61828	0.82674	0.000459586
1	0	0.8	0.599155	0.801167	0.000465883
1	0	0.84	0.577864	0.772697	0.000473501
1	0	0.88	0.554336	0.741237	0.000482579
1	0	0.92	0.528559	0.706769	0.000493276
1	0	0.96	0.500593	0.669373	0.000505771
1	0	1	0.470583	0.629246	0.000520263
1	0	1.04	0.438777	0.586716	0.000536964
1	0	1.08	0.405522	0.542248	0.000556092
1	0	1.12	0.371264	0.49644	0.000577868
1	0	1.16	0.336535	0.450002	0.000602504
1	0	1.2	0.301922	0.403718	0.000630193
1	0	1.24	0.268032	0.358401	0.000661098
1	0	1.28	0.235451	0.314836	0.000695343
1	0	1.32	0.204702	0.273719	0.000733005
1	0	1.36	0.176206	0.235616	0.000774104
1	0	1.4	0.150264	0.200927	0.000818605
1	0	1.44	0.127042	0.169875	0.000866419
1	0	1.48	0.106579	0.142513	0.000917408
1	0	1.52	0.0888043	0.118746	0.00097139
1	0	1.56	0.0735628	0.0983653	0.00102816
1	0	1.6	0.06064	0.0810854	0.00108748
1	0	1.64	0.0497889	0.0665758	0.00114911
1	0	1.68	0.0407518	0.0544917	0.00121282
1	0	1.72	0.0332759	0.0444953	0.00127838
1	0	1.76	0.0271253	0.0362709	0.00134555
1	0	1.8	0.0220867	0.0295334	0.00141415
1	0	1.84	0.0179725	0.0240321	0.00148398
1	0	1.88	0.0146211	0.0195508	0.00155487
1	0	1.92	0.0118958	0.0159067	0.00162668
1	0	1.96	0.00968195	0.0129463	0.00169929
1	0	2	0.00788449	0.0105428	0.00177256
1	0	2.04	0.00642534	0.00859171	0.00184641
1	0	2.08	0.00524061	0.00700754	0.00192075
1	0	2.12	0.00427827	0.00572074	0.00199551
1	0	2.16	0.00349607	0.00467481	0.00207063
1	0	2.2	0.00285978	0.00382399	0.00214604
1	0	2.24	0.00234173	0.00313126	0.00222171
1	0	2.28	0.00191951	0.0025667	0.00229759
1	0	2.32	0.00157506	0.0021061	0.00237366
1	0	2.36	0.00129373	0.00172993	0.00244989
1	0	2.4	0.00106372	0.00142237	0.00252624
1	0	2.44	0.000875464	0.00117064	0.00260271
1	0	2.48	0.000721208	0.000964371	0.00267928
1	0	2.52	0.00059468	0.000795183	0.00275592
1	0	2.56	0.000490787	0.000656261	0.00283263
1	0	2.6	0.000405393	0.000542076	0.0029094
1	0	2.64	0.000335134	0.000448128	0.00298622
1	0	2.68	0.000277272	0.000370758	0.00306307
1	0	2.72	0.000229576	0.00030698	0.00313997
1	0	2.76	0.000190224	0.000254361	0.00321689
1	0	2.8	0.000157729	0.000210909	0.00329384
1	0	2.84	0.000130873	0.000174999	0.00337081
1	0	2.88	0.000108661	0.000145297	0.0034478
1	0	2.92	9.02743e-05	0.000120711	0.0035248
1	0	2.96	7.50439e-05	0.000100346	0.00360182
1	0	3	6.24187e-05	8.34639e-05	0.00367885
1	0	3.04	-nan	-nan	-nan
1	0	3.08	-nan	-nan	-nan
1	0	3.12	-nan	-nan	-nan
1	0	3.16	-nan	-nan	-nan
1	0	3.2	-nan	-nan	-nan
1	0	3.24	-nan	-nan	-nan
1	0	3.28	-nan	-nan	-nan
1	0	3.32	-nan	-nan	-nan
1	0	3.36	-nan	-nan	-nan
1	0	3.4	-nan	-nan	-nan
1	0	3.44	-nan	-nan	-nan
1	0	3.48	-nan	-nan	-nan
1	0	3.52	-nan	-nan	-nan
1	0	3.56	-nan	-nan	-nan
1	0	3.6	-nan	-nan	-nan
1	0	3.64	-nan	-nan	-nan
1	0	3.68	-nan	-nan	-nan
1	0	3.72	-nan	-nan	-nan
1	0	3.76	-nan	-nan	-nan
1	0	3.8	-nan	-nan	-nan
1	0	3.84	-nan	-nan	-nan
1	0	3.88	-nan	-nan	-nan
1	0	3.92	-nan	-nan	-nan
1	0	3.96	-nan	-nan	-nan
1	0	4	-nan	-nan	-nan
1	0	4.04	-nan	-nan	-nan
1	0	4.08	-nan	-nan	-nan
1	0	4.12	-nan	-nan	-nan
1	0	4.16	-nan	-nan	-nan
1	0	4.2	-nan	-nan	-nan
1	0	4.24	-nan	-nan	-nan
1	0	4.28	-nan	-nan	-nan
1	0	4.32	-nan	-nan	-nan
1	0	4.36	-nan	-nan	-nan
1	0	4.4	-nan	-nan	-nan
1	0	4.44	-nan	-nan	-nan
1	0	4.48	-nan	-nan	-nan
1	0	4.52	-nan	-nan	-nan
1	0	4.56	-nan	-nan	-nan
1	0	4.6	-nan	-nan	-nan
1	0	4.64	-nan	-nan	-nan
