# Filename: 2DKT_FPquench_inject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst1_dGdl00.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 May 11 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1, dGdl0=0, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.745998	0.99752	0.000623103
1	0	0.08	0.743832	0.994623	0.0006235
1	0	0.12	0.741304	0.991243	0.000624166
1	0	0.16	0.738355	0.9873	0.000625111
1	0	0.2	0.734918	0.982704	0.000626353
1	0	0.24	0.730917	0.977354	0.000627922
1	0	0.28	0.726264	0.971132	0.000629851
1	0	0.32	0.72086	0.963906	0.000632187
1	0	0.36	0.714595	0.955529	0.000634984
1	0	0.4	0.707347	0.945836	0.00063831
1	0	0.44	0.698978	0.934647	0.000642243
1	0	0.48	0.689344	0.921764	0.000646877
1	0	0.52	0.678287	0.906979	0.000652321
1	0	0.56	0.665644	0.890073	0.0006587
1	0	0.6	0.651248	0.870823	0.000666162
1	0	0.64	0.634936	0.849012	0.000674873
1	0	0.68	0.616559	0.824439	0.000685024
1	0	0.72	0.595989	0.796934	0.000696832
1	0	0.76	0.573136	0.766376	0.000710538
1	0	0.8	0.547961	0.732712	0.000726411
1	0	0.84	0.520492	0.695981	0.000744746
1	0	0.88	0.490842	0.656335	0.000765859
1	0	0.92	0.459222	0.614053	0.00079009
1	0	0.96	0.425946	0.569558	0.000817786
1	0	1	0.391434	0.52341	0.000849301
1	0	1.04	0.356199	0.476296	0.000884978
1	0	1.08	0.320826	0.428997	0.000925137
1	0	1.12	0.285937	0.382344	0.000970057
1	0	1.16	0.252147	0.337161	0.00101996
1	0	1.2	0.220024	0.294208	0.00107501
1	0	1.24	0.190047	0.254123	0.00113527
1	0	1.28	0.162573	0.217387	0.00120073
1	0	1.32	0.137829	0.1843	0.00127129
1	0	1.36	0.115904	0.154982	0.00134676
1	0	1.4	0.096765	0.12939	0.00142692
