# Filename: 2DKT_FPquench_inject_SteadyState_vsl_T_1_lmax10_dl0.008_linj3_InjConst1_dGdl00.001.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 May 11 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1, dGdl0=0.001, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.04	0.745941	0.997443	0.000659577
1	0	0.08	0.743593	0.994304	0.000690249
1	0	0.12	0.740744	0.990494	0.000716105
1	0	0.16	0.737316	0.98591	0.000738085
1	0	0.2	0.733223	0.980437	0.000756985
1	0	0.24	0.728366	0.973943	0.000773483
1	0	0.28	0.722635	0.96628	0.000788163
1	0	0.32	0.715907	0.957283	0.000801535
1	0	0.36	0.708045	0.94677	0.000814053
1	0	0.4	0.698902	0.934544	0.000826126
1	0	0.44	0.688318	0.920392	0.000838135
1	0	0.48	0.676127	0.904091	0.000850444
1	0	0.52	0.662159	0.885414	0.000863405
1	0	0.56	0.646247	0.864136	0.000877372
1	0	0.6	0.628232	0.840047	0.000892706
1	0	0.64	0.607979	0.812966	0.000909782
1	0	0.68	0.585387	0.782757	0.000928993
1	0	0.72	0.560406	0.749353	0.000950755
1	0	0.76	0.53305	0.712774	0.00097551
1	0	0.8	0.503419	0.673153	0.00100372
1	0	0.84	0.47171	0.630752	0.00103587
1	0	0.88	0.438225	0.585978	0.00107246
1	0	0.92	0.403378	0.539381	0.00111399
1	0	0.96	0.367677	0.491644	0.00116093
1	0	1	0.331714	0.443555	0.00121376
1	0	1.04	0.29612	0.395961	0.00127287
1	0	1.08	0.261534	0.349713	0.00133858
1	0	1.12	0.228548	0.305605	0.00141114
1	0	1.16	0.197671	0.264318	0.00149068
1	0	1.2	0.169294	0.226373	0.0015772
1	0	1.24	0.143669	0.192109	0.0016706
1	0	1.28	0.120913	0.16168	0.00177065
1	0	1.32	0.10101	0.135066	0.00187705
1	0	1.36	0.0838423	0.112111	0.0019894
1	0	1.4	0.0692153	0.092552	0.00210724
1	0	1.44	0.0568848	0.0760641	0.0022301
1	0	1.48	0.046584	0.0622904	0.00235749
1	0	1.52	0.0380436	0.0508704	0.00248893
1	0	1.56	0.031006	0.0414601	0.00262393
1	0	1.6	0.0252352	0.0337436	0.00276208
1	0	1.64	0.020521	0.0274399	0.00290295
1	0	1.68	0.0166808	0.0223049	0.0030462
1	0	1.72	0.0135588	0.0181303	0.00319149
1	0	1.76	0.0110241	0.014741	0.00333854
1	0	1.8	0.00896772	0.0119913	0.0034871
1	0	1.84	0.00729993	0.00976118	0.00363694
1	0	1.88	0.0059472	0.00795236	0.00378788
1	0	1.92	0.0048496	0.0064847	0.00393975
1	0	1.96	0.0039585	0.00529316	0.00409241
1	0	2	0.00323449	0.00432503	0.00424575
1	0	2.04	0.00264571	0.00353774	0.00439966
1	0	2.08	0.00216643	0.00289686	0.00455405
1	0	2.12	0.00177587	0.00237462	0.00470886
1	0	2.16	0.00145726	0.00194859	0.00486401
1	0	2.2	0.00119706	0.00160066	0.00501946
1	0	2.24	0.000984317	0.00131619	0.00517516
1	0	2.28	0.000810185	0.00108335	0.00533107
1	0	2.32	0.000667497	0.000892552	0.00548716
1	0	2.36	0.00055045	0.00073604	0.0056434
1	0	2.4	0.000454333	0.000607516	0.00579977
1	0	2.44	0.000375322	0.000501866	0.00595625
1	0	2.48	0.000310309	0.000414933	0.00611283
1	0	2.52	0.000256762	0.000343332	0.00626948
1	0	2.56	0.000212617	0.000284303	0.0064262
1	0	2.6	0.000176191	0.000235596	0.00658297
1	0	2.64	0.000146108	0.00019537	0.00673979
1	0	2.68	0.000121244	0.000162122	0.00689665
1	0	2.72	0.000100676	0.000134619	0.00705355
1	0	2.76	8.36484e-05	0.000111851	0.00721048
1	0	2.8	6.95425e-05	9.29895e-05	0.00736743
1	0	2.84	5.78482e-05	7.73523e-05	0.0075244
1	0	2.88	4.81468e-05	6.438e-05	0.00768139
1	0	2.92	4.00933e-05	5.36113e-05	0.00783839
1	0	2.96	3.34038e-05	4.46663e-05	0.00799541
1	0	3	2.7844e-05	3.72319e-05	0.00815244
1	0	3.04	-nan	-nan	-nan
1	0	3.08	-nan	-nan	-nan
1	0	3.12	-nan	-nan	-nan
1	0	3.16	-nan	-nan	-nan
1	0	3.2	-nan	-nan	-nan
1	0	3.24	-nan	-nan	-nan
1	0	3.28	-nan	-nan	-nan
1	0	3.32	-nan	-nan	-nan
1	0	3.36	-nan	-nan	-nan
1	0	3.4	-nan	-nan	-nan
1	0	3.44	-nan	-nan	-nan
1	0	3.48	-nan	-nan	-nan
1	0	3.52	-nan	-nan	-nan
1	0	3.56	-nan	-nan	-nan
1	0	3.6	-nan	-nan	-nan
1	0	3.64	-nan	-nan	-nan
1	0	3.68	-nan	-nan	-nan
1	0	3.72	-nan	-nan	-nan
1	0	3.76	-nan	-nan	-nan
1	0	3.8	-nan	-nan	-nan
1	0	3.84	-nan	-nan	-nan
1	0	3.88	-nan	-nan	-nan
1	0	3.92	-nan	-nan	-nan
1	0	3.96	-nan	-nan	-nan
1	0	4	-nan	-nan	-nan
1	0	4.04	-nan	-nan	-nan
1	0	4.08	-nan	-nan	-nan
1	0	4.12	-nan	-nan	-nan
1	0	4.16	-nan	-nan	-nan
1	0	4.2	-nan	-nan	-nan
1	0	4.24	-nan	-nan	-nan
1	0	4.28	-nan	-nan	-nan
1	0	4.32	-nan	-nan	-nan
1	0	4.36	-nan	-nan	-nan
1	0	4.4	-nan	-nan	-nan
1	0	4.44	-nan	-nan	-nan
1	0	4.48	-nan	-nan	-nan
1	0	4.52	-nan	-nan	-nan
1	0	4.56	-nan	-nan	-nan
1	0	4.6	-nan	-nan	-nan
1	0	4.64	-nan	-nan	-nan
1	0	4.68	-nan	-nan	-nan
1	0	4.72	-nan	-nan	-nan
1	0	4.76	-nan	-nan	-nan
1	0	4.8	-nan	-nan	-nan
1	0	4.84	-nan	-nan	-nan
1	0	4.88	-nan	-nan	-nan
1	0	4.92	-nan	-nan	-nan
1	0	4.96	-nan	-nan	-nan
1	0	5	-nan	-nan	-nan
1	0	5.04	-nan	-nan	-nan
1	0	5.08	-nan	-nan	-nan
1	0	5.12	-nan	-nan	-nan
1	0	5.16	-nan	-nan	-nan
1	0	5.2	-nan	-nan	-nan
1	0	5.24	-nan	-nan	-nan
1	0	5.28	-nan	-nan	-nan
1	0	5.32	-nan	-nan	-nan
1	0	5.36	-nan	-nan	-nan
1	0	5.4	-nan	-nan	-nan
1	0	5.44	-nan	-nan	-nan
1	0	5.48	-nan	-nan	-nan
1	0	5.52	-nan	-nan	-nan
1	0	5.56	-nan	-nan	-nan
1	0	5.6	-nan	-nan	-nan
1	0	5.64	-nan	-nan	-nan
1	0	5.68	-nan	-nan	-nan
1	0	5.72	-nan	-nan	-nan
1	0	5.76	-nan	-nan	-nan
1	0	5.8	-nan	-nan	-nan
1	0	5.84	-nan	-nan	-nan
1	0	5.88	-nan	-nan	-nan
1	0	5.92	-nan	-nan	-nan
1	0	5.96	-nan	-nan	-nan
1	0	6	-nan	-nan	-nan
1	0	6.04	-nan	-nan	-nan
1	0	6.08	-nan	-nan	-nan
1	0	6.12	-nan	-nan	-nan
1	0	6.16	-nan	-nan	-nan
1	0	6.2	-nan	-nan	-nan
1	0	6.24	-nan	-nan	-nan
1	0	6.28	-nan	-nan	-nan
1	0	6.32	-nan	-nan	-nan
1	0	6.36	-nan	-nan	-nan
1	0	6.4	-nan	-nan	-nan
1	0	6.44	-nan	-nan	-nan
1	0	6.48	-nan	-nan	-nan
1	0	6.52	-nan	-nan	-nan
1	0	6.56	-nan	-nan	-nan
1	0	6.6	-nan	-nan	-nan
1	0	6.64	-nan	-nan	-nan
1	0	6.68	-nan	-nan	-nan
1	0	6.72	-nan	-nan	-nan
1	0	6.76	-nan	-nan	-nan
1	0	6.8	-nan	-nan	-nan
1	0	6.84	-nan	-nan	-nan
1	0	6.88	-nan	-nan	-nan
1	0	6.92	-nan	-nan	-nan
1	0	6.96	-nan	-nan	-nan
1	0	7	-nan	-nan	-nan
1	0	7.04	-nan	-nan	-nan
1	0	7.08	-nan	-nan	-nan
1	0	7.12	-nan	-nan	-nan
1	0	7.16	-nan	-nan	-nan
1	0	7.2	-nan	-nan	-nan
1	0	7.24	-nan	-nan	-nan
1	0	7.28	-nan	-nan	-nan
1	0	7.32	-nan	-nan	-nan
1	0	7.36	-nan	-nan	-nan
1	0	7.4	-nan	-nan	-nan
1	0	7.44	-nan	-nan	-nan
1	0	7.48	-nan	-nan	-nan
1	0	7.52	-nan	-nan	-nan
1	0	7.56	-nan	-nan	-nan
1	0	7.6	-nan	-nan	-nan
1	0	7.64	-nan	-nan	-nan
1	0	7.68	-nan	-nan	-nan
1	0	7.72	-nan	-nan	-nan
1	0	7.76	-nan	-nan	-nan
1	0	7.8	-nan	-nan	-nan
1	0	7.84	-nan	-nan	-nan
1	0	7.88	-nan	-nan	-nan
1	0	7.92	-nan	-nan	-nan
1	0	7.96	-nan	-nan	-nan
1	0	8	-nan	-nan	-nan
1	0	8.04	-nan	-nan	-nan
1	0	8.08	-nan	-nan	-nan
1	0	8.12	-nan	-nan	-nan
1	0	8.16	-nan	-nan	-nan
1	0	8.2	-nan	-nan	-nan
1	0	8.24	-nan	-nan	-nan
1	0	8.28	-nan	-nan	-nan
1	0	8.32	-nan	-nan	-nan
1	0	8.36	-nan	-nan	-nan
1	0	8.4	-nan	-nan	-nan
1	0	8.44	-nan	-nan	-nan
1	0	8.48	-nan	-nan	-nan
1	0	8.52	-nan	-nan	-nan
1	0	8.56	-nan	-nan	-nan
1	0	8.6	-nan	-nan	-nan
1	0	8.64	-nan	-nan	-nan
1	0	8.68	-nan	-nan	-nan
1	0	8.72	-nan	-nan	-nan
1	0	8.76	-nan	-nan	-nan
1	0	8.8	-nan	-nan	-nan
1	0	8.84	-nan	-nan	-nan
1	0	8.88	-nan	-nan	-nan
1	0	8.92	-nan	-nan	-nan
1	0	8.96	-nan	-nan	-nan
1	0	9	-nan	-nan	-nan
1	0	9.04	-nan	-nan	-nan
1	0	9.08	-nan	-nan	-nan
1	0	9.12	-nan	-nan	-nan
1	0	9.16	-nan	-nan	-nan
1	0	9.2	-nan	-nan	-nan
1	0	9.24	-nan	-nan	-nan
1	0	9.28	-nan	-nan	-nan
1	0	9.32	-nan	-nan	-nan
1	0	9.36	-nan	-nan	-nan
1	0	9.4	-nan	-nan	-nan
1	0	9.44	-nan	-nan	-nan
1	0	9.48	-nan	-nan	-nan
1	0	9.52	-nan	-nan	-nan
1	0	9.56	-nan	-nan	-nan
1	0	9.6	-nan	-nan	-nan
1	0	9.64	-nan	-nan	-nan
1	0	9.68	-nan	-nan	-nan
1	0	9.72	-nan	-nan	-nan
1	0	9.76	-nan	-nan	-nan
1	0	9.8	-nan	-nan	-nan
1	0	9.84	-nan	-nan	-nan
1	0	9.88	-nan	-nan	-nan
1	0	9.92	-nan	-nan	-nan
1	0	9.96	-nan	-nan	-nan
1	0	10	-nan	-nan	-nan
