# Filename: 2DKT_FPquench_inject_SteadyState_vsl_T_0.75_lmax10_dl0.008_linj3_InjConst1_dGdl00.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 May 11 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.75, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1, dGdl0=0, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.75	0.25	0	0.997137	1	5.32054e-05
0.75	0.25	0.04	0.996855	0.999717	5.32071e-05
0.75	0.25	0.08	0.996524	0.999385	5.3212e-05
0.75	0.25	0.12	0.996136	0.998996	5.32201e-05
0.75	0.25	0.16	0.99568	0.998539	5.32315e-05
0.75	0.25	0.2	0.995147	0.998003	5.32461e-05
0.75	0.25	0.24	0.99452	0.997376	5.32644e-05
0.75	0.25	0.28	0.993787	0.99664	5.32867e-05
0.75	0.25	0.32	0.992926	0.995777	5.33136e-05
0.75	0.25	0.36	0.991918	0.994766	5.33456e-05
0.75	0.25	0.4	0.990737	0.993581	5.33836e-05
0.75	0.25	0.44	0.989353	0.992193	5.34284e-05
0.75	0.25	0.48	0.987733	0.990568	5.34813e-05
0.75	0.25	0.52	0.985836	0.988666	5.35435e-05
0.75	0.25	0.56	0.983616	0.98644	5.36166e-05
0.75	0.25	0.6	0.98102	0.983837	5.37025e-05
0.75	0.25	0.64	0.977986	0.980794	5.38033e-05
0.75	0.25	0.68	0.974443	0.97724	5.39216e-05
0.75	0.25	0.72	0.970307	0.973092	5.40605e-05
0.75	0.25	0.76	0.965484	0.968256	5.42234e-05
0.75	0.25	0.8	0.959868	0.962624	5.44145e-05
0.75	0.25	0.84	0.953335	0.956072	5.46386e-05
0.75	0.25	0.88	0.945748	0.948463	5.49013e-05
0.75	0.25	0.92	0.936951	0.939641	5.52092e-05
0.75	0.25	0.96	0.926774	0.929435	5.557e-05
0.75	0.25	1	0.915028	0.917655	5.59927e-05
