# Filename: vlt_FPquench_vst_T_0.85_0.1_P_00.050_lmax1_dl0.0008_tmax10000_dt04e-09.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=0.85, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=1, lsteps=1250, (dl=0.0008), lpts=1251, ldatamax=250, tmax=10000, dt0=4e-09, a0=1, a06=1, K0c=0.295611
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vldens
0	0	0.85	0.15	1	0.655994	1.88624	2.50152e-05	0.0863867
1	4e-09	0.1	0.9	1	1.68824	0.571101	2.52585e-05	0.0863858
2	8e-09	0.1	0.9	1	1.68823	0.571098	2.5319e-05	0.0863859
3	1.2e-08	0.1	0.9	1	1.68822	0.571095	2.53663e-05	0.086386
4	1.6e-08	0.1	0.9	1	1.68821	0.571092	2.54066e-05	0.0863861
6	2.4e-08	0.1	0.9	1	1.6882	0.571087	2.5475e-05	0.0863862
8	3.2e-08	0.1	0.9	1	1.68818	0.571081	2.55331e-05	0.0863864
10	4e-08	0.1	0.9	1	1.68816	0.571075	2.55845e-05	0.0863865
12	4.8e-08	0.1	0.9	1	1.68815	0.571069	2.56311e-05	0.0863867
14	5.6e-08	0.1	0.9	1	1.68813	0.571064	2.56741e-05	0.0863869
17	6.8e-08	0.1	0.9	1	1.6881	0.571055	2.57333e-05	0.0863871
20	8e-08	0.1	0.9	1	1.68808	0.571046	2.57877e-05	0.0863873
24	9.6e-08	0.1	0.9	1	1.68804	0.571035	2.58545e-05	0.0863876
28	1.12e-07	0.1	0.9	1	1.68801	0.571023	2.5916e-05	0.0863879
32	1.28e-07	0.1	0.9	1	1.68798	0.571012	2.59735e-05	0.0863882
37	1.48e-07	0.1	0.9	1	1.68793	0.570997	2.60406e-05	0.0863886
43	1.72e-07	0.1	0.9	1	1.68788	0.57098	2.61158e-05	0.086389
49	1.96e-07	0.1	0.9	1	1.68783	0.570963	2.6186e-05	0.0863895
56	2.24e-07	0.1	0.9	1	1.68777	0.570943	2.6263e-05	0.08639
64	2.56e-07	0.1	0.9	1	1.68771	0.57092	2.63455e-05	0.0863906
73	2.92e-07	0.1	0.9	1	1.68763	0.570895	2.64328e-05	0.0863913
83	3.32e-07	0.1	0.9	1	1.68755	0.570866	2.6524e-05	0.086392
94	3.76e-07	0.1	0.9	1	1.68745	0.570835	2.66185e-05	0.0863929
107	4.28e-07	0.1	0.9	1	1.68734	0.570798	2.67238e-05	0.0863939
121	4.84e-07	0.1	0.9	1	1.68723	0.570759	2.68307e-05	0.0863949
137	5.48e-07	0.1	0.9	1	1.68709	0.570713	2.69461e-05	0.0863961
155	6.2e-07	0.1	0.9	1	1.68694	0.570663	2.70687e-05	0.0863975
175	7e-07	0.1	0.9	1	1.68678	0.570606	2.71975e-05	0.086399
197	7.88e-07	0.1	0.9	1	1.6866	0.570545	2.73316e-05	0.0864007
222	8.88e-07	0.1	0.9	1	1.68639	0.570475	2.7476e-05	0.0864026
250	1e-06	0.1	0.9	1	1.68616	0.570396	2.76293e-05	0.0864047
282	1.128e-06	0.1	0.9	1	1.68589	0.570307	2.77954e-05	0.0864072
318	1.272e-06	0.1	0.9	1	1.6856	0.570207	2.79724e-05	0.0864099
357	1.428e-06	0.1	0.9	1	1.68528	0.570099	2.81545e-05	0.0864129
402	1.608e-06	0.1	0.9	1	1.68491	0.569975	2.8354e-05	0.0864163
452	1.808e-06	0.1	0.9	1	1.6845	0.569837	2.85647e-05	0.0864201
508	2.032e-06	0.1	0.9	1	1.68405	0.569683	2.8789e-05	0.0864244
572	2.288e-06	0.1	0.9	1	1.68353	0.569508	2.90327e-05	0.0864293
642	2.568e-06	0.1	0.9	1	1.68296	0.569317	2.92864e-05	0.0864347
722	2.888e-06	0.1	0.9	1	1.68232	0.569099	2.95626e-05	0.0864408
811	3.244e-06	0.1	0.9	1	1.68161	0.568858	2.98553e-05	0.0864476
911	3.644e-06	0.1	0.9	1	1.68081	0.568588	3.01689e-05	0.0864552
1023	4.092e-06	0.1	0.9	1	1.67992	0.568288	3.0504e-05	0.0864638
1149	4.596e-06	0.1	0.9	1	1.67893	0.567951	3.0864e-05	0.0864734
1290	5.16e-06	0.1	0.9	1	1.67782	0.567576	3.12488e-05	0.0864842
1449	5.796e-06	0.1	0.9	1	1.67658	0.567155	3.16636e-05	0.0864964
1627	6.508e-06	0.1	0.9	1	1.67519	0.566687	3.21079e-05	0.08651
1826	7.304e-06	0.1	0.9	1	1.67365	0.566166	3.25836e-05	0.0865252
2050	8.2e-06	0.1	0.9	1	1.67193	0.565584	3.30966e-05	0.0865423
2301	9.204e-06	0.1	0.9	1	1.67001	0.564935	3.3648e-05	0.0865615
2583	1.0332e-05	0.1	0.9	1	1.66787	0.564211	3.42427e-05	0.0865831
2899	1.1596e-05	0.1	0.9	1	1.66549	0.563405	3.48829e-05	0.0866072
3254	1.3016e-05	0.1	0.9	1	1.66283	0.562507	3.55746e-05	0.0866343
3652	1.4608e-05	0.1	0.9	1	1.65988	0.561507	3.63211e-05	0.0866647
4099	1.6396e-05	0.1	0.9	1	1.65659	0.560394	3.7129e-05	0.0866988
4600	1.84e-05	0.1	0.9	1	1.65293	0.559156	3.80026e-05	0.086737
