0.0415377    1347.78   0.291161    0.0091041    683.18    0.099753    0.0097319    657.10  0.099844
0.0366489    1288.65   0.268746    0.0079921    648.81    0.091233    0.0085334    623.29  0.091056
0.0323180    1231.12   0.247821    0.0070176    616.07    0.083418    0.0074756    591.12  0.083017
0.0284797    1175.19   0.228305    0.0061631    585.16    0.076316    0.0065589    560.97  0.075777
0.0250812    1120.45   0.209998    0.0053941    555.06    0.069662    0.0057412    531.65  0.069006
0.0220829    1067.92   0.193119    0.0047335    526.99    0.063686    0.0050366    504.35  0.062950
0.0194446    1017.38   0.177523    0.0041481    499.92    0.058139    0.0044185    478.67  0.057475
0.0150625     921.89   0.149730    0.0036411    474.48    0.053116    0.0038699    453.80  0.052376
0.0132471     877.15   0.137446    0.0032004    451.04    0.048668    0.0033894    430.55  0.047798
0.0116576     834.40   0.126147    0.0028095    428.21    0.044485    0.0029692    408.50  0.043624

0.0102462     793.25   0.115672    0.0024638    406.38    0.040635    0.0026038    387.67  0.039828
0.0089977     753.70   0.105974    0.0021648    385.97    0.037165    0.0022830    368.04  0.036390
0.0079116     716.54   0.097195    0.0018945    366.16    0.033923    0.0020041    349.42  0.033247
0.0068584     677.39   0.088294    0.0016543    347.15    0.030990    0.0017512    331.01  0.030255
0.0060043     642.83   0.080736    0.0014391    328.74    0.028144    0.0015286    313.60  0.027538
0.0052663     610.07   0.073824    0.0012631    311.54    0.025624    0.0013340    297.19  0.025079
0.0046131     579.10   0.067535    0.0011000    295.14    0.023326    0.0011651    281.59  0.022827
0.0040414     549.94   0.061825    0.0009656    280.55    0.021357    0.0010113    266.18  0.020693
0.0035348     521.57   0.056465    0.0008411    265.95    0.019462    0.0008867    252.78  0.018910

0.0030968     495.01   0.051624    0.0001711    144.30    0.006658    0.0007749    239.79  0.017245

0.0027091     469.64   0.047169    0.0001434    134.99    0.005917    0.0006782    227.39  0.015714
0.0024556     451.86   0.044145    0.0001216    126.81    0.005297    0.0005950    215.99  0.014362
0.0021514     428.89   0.040356    0.0001040    119.56    0.004772    0.0005126    203.30  0.012972
0.0018813     406.91   0.036863    0.0000897    113.09    0.004323    0.0004426    192.67  0.011758
0.0016449     386.14   0.033681    0.0000780    107.29    0.003937    0.0003980    184.77  0.010924
0.0014423     366.76   0.030816    0.0000682    102.06    0.003601    0.0003568    177.22  0.010153
0.0012563     347.58   0.028085    0.0000599     97.31    0.003308    0.0003168    169.04  0.009342
0.0011032     330.20   0.025694    0.0000530     92.99    0.003051    0.0002764    160.35  0.008513
0.0009691     314.02   0.023551    0.0000473     89.03    0.002823    0.0002419    152.43  0.007788
0.0008500     298.44   0.021559    0.0000423     85.40    0.002620    0.0002080    143.92  0.007038

0.0007486     284.06   0.019784    0.0000380     82.04    0.002438    0.0001855    137.85  0.006523
0.0006467     268.28   0.017907    0.0000342     78.95    0.002276    0.0001526    128.02  0.005724
0.0005624     254.29   0.016311    0.0000309     76.09    0.002131    0.0001274    119.46  0.005064
0.0004945     242.11   0.014971    0.0000281     73.41    0.001998    0.0001076    112.01  0.004517
0.0004269     228.53   0.013528    0.0000257     70.92    0.001877    0.0000917    105.42  0.004056
0.0003766     217.94   0.012450    *             *        *           0.0000789     99.56  0.003664
0.0003259     206.15   0.011292    *             *        *           0.0000683     94.31  0.003327
0.0003068     201.36   0.010833    *             *        *           0.0000595     89.60  0.003037
0.0002873     196.40   0.010369    *             *        *           0.0000520     85.34  0.002785
0.0002262     179.32   0.008834    *             *        *           0.0000460     81.46  0.002563

0.0001818     164.98   0.007624    *             *        *           0.0000408     77.91  0.002367
0.0001485     152.76   0.006652    *             *        *           0.0000362     74.67  0.002195
0.0001229     142.23   0.005861    *             *        *           0.0000324     71.68  0.002040
0.0001031     133.06   0.005206    *             *        *           0.0000292     68.92  0.001901
0.0000873     124.99   0.004657    *             *        *           0.0000263     66.36  0.001777
0.0000748     117.84   0.004192    *             *        *           0.0000239     64.00  0.001665

0.0000645     111.49   0.003798    *             *        *           *             *      *
0.0000561     105.75   0.003455    *             *        *           *             *      *
0.0000491     100.60   0.003160    *             *        *           *             *      *
0.0000432      95.92   0.002902    *             *        *           *             *      *
0.0000384      91.65   0.002673    *             *        *           *             *      *
0.0000342      87.75   0.002472    *             *        *           *             *      *
0.0000307      84.18   0.002294    *             *        *           *             *      *
0.0000290      82.50   0.002213    *             *        *           *             *      *
0.0000260      79.32   0.002062    *             *        *           *             *      *
