0.0098359    614.04   0.097643    0.0098366    564.01    0.095110    0.0095896    517.19  0.092805
0.0086254    581.94   0.088824    0.0086094    533.76    0.086177    0.0083792    488.31  0.083604
0.0075555    551.68   0.080845    0.0075410    505.38    0.078149    0.0073153    461.14  0.075343
0.0066126    522.66   0.073499    0.0065968    478.05    0.070749    0.0063915    435.46  0.067899
0.0057954    495.47   0.066898    0.0057645    452.18    0.064051    0.0055755    411.06  0.061159
0.0050660    469.11   0.060760    0.0050458    427.95    0.058053    0.0048573    387.92  0.055074
0.0044394    444.59   0.055282    0.0044172    405.16    0.052658    0.0042381    366.23  0.049644
0.0038890    421.48   0.050334    0.0038563    383.40    0.047735    0.0036973    346.00  0.044818
0.0034022    399.19   0.045752    0.0033751    362.86    0.043287    0.0032165    326.40  0.040362
0.0029775    378.31   0.041639    0.0029456    343.15    0.039205    0.0028027    308.23  0.036429
0.0026185    359.45   0.038074    0.0025753    324.86    0.035582    0.0024377    290.89  0.032850

0.0022947    340.80   0.034680    0.0022518    307.38    0.032265    0.0021201    274.58  0.029639
0.0017635    306.73   0.028843    0.0019773    291.72    0.029423    0.0018430    259.29  0.026768
0.0015405    290.51   0.026225    0.0017292    276.26    0.026730    0.0016750    249.43  0.024991
0.0013456    275.28   0.023870    0.0015143    261.82    0.024318    0.0014655    235.97  0.022646
0.0011744    260.87   0.021728    0.0013213    247.79    0.022070    0.0012817    223.31  0.020538
0.0010275    247.26   0.019782    0.0011506    234.36    0.020009    0.0011189    211.27  0.018619
0.0008934    233.85   0.017942    0.0010005    221.54    0.018124    0.0009732    199.65  0.016848
0.0007836    222.04   0.016386    0.0008745    209.92    0.016487    0.0008477    188.70  0.015250
0.0006886    211.04   0.014991    0.0007587    198.29    0.014914    0.0007391    178.50  0.013824
0.0006041    200.24   0.013670    0.0006635    188.02    0.013584    0.0006417    168.66  0.012509

0.0005314    190.43   0.012522    0.0005795    178.21    0.012363    0.0005618    159.83  0.011375
0.0004583    179.76   0.011314    0.0005069    168.98    0.011260    0.0004914    151.55  0.010358
0.0003998    170.38   0.010298    0.0004451    160.52    0.010287    0.0004305    143.61  0.009417
0.0003522    162.15   0.009438    0.0003831    151.36    0.009277    0.0003780    136.36  0.008595
0.0003052    153.31   0.008552    0.0003314    142.98    0.008392    0.0003345    129.92  0.007892
0.0002694    146.15   0.007863    0.0002896    135.62    0.007646    0.0002910    122.93  0.007158
0.0002343    138.40   0.007141    0.0002494    127.62    0.006865    0.0002571    117.03  0.006562
0.0002709    146.47   0.007893    0.0002191    121.35    0.006280    0.0002230    110.63  0.005941
0.0002316    137.86   0.007093    0.0001886    114.35    0.005654    0.0001977    105.51  0.005464
0.0001958    129.18   0.006325    0.0002611    129.74    0.007065    0.0001724     99.99  0.004968

0.0001722    122.71   0.005773    0.0002323    123.88    0.006511    0.0001513     95.07  0.004544
0.0001481    115.76   0.005206    0.0002016    117.25    0.005908    0.0001306     89.77  0.004105
0.0001312    110.74   0.004816    0.0001759    111.07    0.005368    0.0001153     85.50  0.003764
0.0001139    104.90   0.004376    0.0001558    106.07    0.004950    0.0001009     81.22  0.003437
0.0001080    102.79   0.004220    0.0001359    100.60    0.004506    0.0000888     77.34  0.003151
0.0000941     97.51   0.003843    0.0001213     96.32    0.004172    0.0000787     73.82  0.002901
0.0000825     92.76   0.003517    0.0001136     93.98    0.003995    0.0000700     70.63  0.002682
0.0000728     88.44   0.003231    0.0000979     88.76    0.003611    0.0000636     67.69  0.002487
0.0000646     84.50   0.002979    0.0000850     84.09    0.003280    0.0000561     64.97  0.002312
0.0000576     80.91   0.002757    0.0000744     79.89    0.002994    0.0000507     62.47  0.002156
0.0000516     77.61   0.002560    0.0000655     76.08    0.002744    0.0000458     60.15  0.002016

0.0000464     74.57   0.002384    0.0000578     72.62    0.002527    0.0000416     58.02  0.001890
0.0000418     71.76   0.002226    0.0000516     69.46    0.002334    0.0000379     56.00  0.001774
0.0000397     70.42   0.002153    0.0000461     66.56    0.002163    0.0000346     54.14  0.001670
0.0000360     67.90   0.002017    0.0000413     63.91    0.002012    0.0000316     52.40  0.001576
0.0000327     65.56   0.001895    0.0000372     61.45    0.001876    0.0000291     50.76  0.001489
0.0000300     63.39   0.001783    0.0000338     59.17    0.001753    0.0000267     49.22  0.001409
0.0000274     61.33   0.001681    0.0000306     57.05    0.001642    0.0000247     47.77  0.001336
0.0000252     59.41   0.001588    0.0000280     55.10    0.001543    0.0000228     46.41  0.001269
0.0000232     57.61   0.001503    0.0000255     53.26    0.001452    *             *      *
