# Filename: 3Dvlt_macro_T_Cc1.11_lmax100_dl0.001_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 8 (2011 Jun 30 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=1.10501, K0c=0.295614, lmax=100, lsteps=100000, (dl=0.001), lpts=100001, ldatamax=250, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.205672	0.794328	1.247	5.00167	3.47988	0.999999	8.20973e-23	-3.97175e-08
0.369043	0.630957	1.833	5.00058	6.2427	0.998413	1.39182e-22	-7.58545e-05
0.498813	0.501187	2.151	5.00427	8.44409	0.98262	9.19238e-23	-0.000910738
0.601893	0.398107	2.381	5.00235	10.1852	0.9417	5.0621e-23	-0.00319831
0.683772	0.316228	2.578	5.00372	11.5739	0.878756	2.37118e-23	-0.00681783
0.748811	0.251189	2.759	5.00066	12.667	0.802521	1.06805e-23	-0.0112638
0.800474	0.199526	2.933	5.00212	13.5449	0.721091	4.3703e-24	-0.016037
0.841511	0.158489	3.102	5.00233	14.2399	0.640214	1.75582e-24	-0.020767
0.874107	0.125893	3.268	5.00347	14.7949	0.563425	6.86833e-25	-0.0252176
0.9	0.1	3.431	5.00115	15.2261	0.492633	2.75413e-25	-0.0292579
0.920567	0.0794328	3.593	5.00262	15.5786	0.428655	1.05919e-25	-0.0328314
0.936904	0.0630957	3.753	5.00098	15.8498	0.371636	4.19446e-26	-0.0359306
0.949881	0.0501187	3.913	5.00482	16.0817	0.321321	1.5737e-26	-0.0385774
0.960189	0.0398107	4.071	5.00307	16.2506	0.27724	6.24578e-27	-0.0408104
0.968377	0.0316228	4.229	5.00489	16.3951	0.238826	2.39655e-27	-0.0426758
0.974881	0.0251189	4.386	5.00458	16.5042	0.205484	9.40454e-28	-0.0442214
0.980047	0.0199526	4.542	5.00161	16.5818	0.176631	3.79472e-28	-0.0454935
0.984151	0.0158489	4.698	5.00054	16.6477	0.151718	1.50496e-28	-0.0465345
0.987411	0.0125893	4.854	5.00099	16.7043	0.130246	5.88667e-29	-0.0473824
0.99	0.01	5.01	5.00267	16.7537	0.111763	2.27718e-29	-0.0480702
0.992057	0.00794328	5.165	5.00034	16.7807	0.0958694	9.17291e-30	-0.0486264
0.99369	0.00630957	5.321	5.00382	16.8201	0.0822142	3.49209e-30	-0.0490748
0.994988	0.00501187	5.476	5.00293	16.8391	0.070489	1.38877e-30	-0.0494354
0.996019	0.00398107	5.631	5.00257	16.8553	0.0604259	5.49788e-31	-0.0497249
0.996838	0.00316228	5.786	5.00262	16.8693	0.0517927	2.16858e-31	-0.0499568
0.997488	0.00251189	5.941	5.00299	16.8816	0.0443884	8.52887e-32	-0.0501424
0.998005	0.00199526	6.096	5.00364	16.8925	0.0380395	3.34654e-32	-0.0502907
0.998415	0.00158489	6.251	5.00449	16.9023	0.0325965	1.31067e-32	-0.0504092
0.998741	0.00125893	6.405	5.00052	16.8944	0.027931	5.38505e-33	-0.0505036
0.999	0.001	6.56	5.00168	16.9027	0.0239323	2.10345e-33	-0.0505789
1.00126	-0.00125893	68.356	nan	nan	nan	nan	nan
1.00158	-0.00158489	67.591	nan	nan	nan	nan	nan
1.002	-0.00199526	67.42	nan	nan	nan	nan	nan
1.00251	-0.00251189	67.679	nan	nan	nan	nan	nan
1.00316	-0.00316228	67.467	nan	nan	nan	nan	nan
1.00398	-0.00398107	67.118	nan	nan	nan	nan	nan
1.00501	-0.00501187	67.783	nan	nan	nan	nan	nan
1.00631	-0.00630957	67.344	nan	nan	nan	nan	nan
1.00794	-0.00794328	66.769	nan	nan	nan	nan	nan
1.01	-0.01	66.692	nan	nan	nan	nan	nan
1.01259	-0.0125893	67.025	nan	nan	nan	nan	nan
1.01585	-0.0158489	65.951	nan	nan	nan	nan	nan
1.01995	-0.0199526	66.007	nan	nan	nan	nan	nan
1.02512	-0.0251189	66.379	nan	nan	nan	nan	nan
1.03162	-0.0316228	65.846	nan	nan	nan	nan	nan
1.03981	-0.0398107	66.089	nan	nan	nan	nan	nan
1.05012	-0.0501187	65.379	nan	nan	nan	nan	nan
1.0631	-0.0630957	65.415	nan	nan	nan	nan	nan
1.07943	-0.0794328	65.676	nan	nan	nan	nan	nan
1.1	-0.1	65.084	nan	nan	nan	nan	nan
1.12589	-0.125893	64.72	nan	nan	nan	nan	nan
1.15849	-0.158489	64.674	nan	nan	nan	nan	nan
1.19953	-0.199526	64.709	nan	nan	nan	nan	nan
1.25119	-0.251189	64.257	nan	nan	nan	nan	nan
1.31623	-0.316228	64.361	nan	nan	nan	nan	nan
1.39811	-0.398107	64.263	nan	nan	nan	nan	nan
1.50119	-0.501187	63.837	nan	nan	nan	nan	nan
1.63096	-0.630957	64.087	nan	nan	nan	nan	nan
1.79433	-0.794328	64.381	nan	nan	nan	nan	nan
2	-1	63.662	nan	nan	nan	nan	nan
