# Filename: 3Dvlt_macro_T_Cc1.11_lmax1_dl0.001_Op3.dat
# Source: 3Dvlt_macro.c
# Source version: 8 (2011 Jun 30 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=1.10501, K0c=0.295614, lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=250, a0=1, a03=1, a06=1
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.205672	0.794328	1	3.90701	2.71828	0.999999	4.04013e-18	-3.97175e-08
0.369043	0.630957	1	2.17397	2.71397	0.998414	1.81694e-10	-7.58539e-05
0.498813	0.501187	1	1.58313	2.67133	0.982729	4.24944e-08	-0.000910543
0.601893	0.398107	1	1.25937	2.56417	0.943305	5.73207e-07	-0.00319489
0.683772	0.316228	1	1.04167	2.40944	0.886385	2.52818e-06	-0.00679891
0.748811	0.251189	1	0.88306	2.23685	0.822892	6.5079e-06	-0.0112059
0.800474	0.199526	1	0.764076	2.06899	0.761139	1.31448e-05	-0.0159064
0.841511	0.158489	1	0.674071	1.91885	0.705904	2.24475e-05	-0.0205221
0.874107	0.125893	1	0.605782	1.79125	0.658964	3.38741e-05	-0.0248148
0.9	0.1	1	0.55383	1.68614	0.620297	4.65747e-05	-0.0286584
0.920567	0.0794328	1	0.514166	1.60116	0.589033	5.96564e-05	-0.0320061
0.936904	0.0630957	1	0.483752	1.53318	0.564025	7.23688e-05	-0.0348624
0.949881	0.0501187	1	0.460321	1.47913	0.54414	8.41828e-05	-0.0372615
0.960189	0.0398107	1	0.442189	1.43628	0.528378	9.47906e-05	-0.0392525
0.968377	0.0316228	1	0.428097	1.40237	0.515902	0.000104066	-0.0408893
0.974881	0.0251189	1	0.417103	1.37553	0.50603	0.000112009	-0.0422252
0.980047	0.0199526	1	0.4085	1.3543	0.498218	0.000118705	-0.0433093
0.984151	0.0158489	1	0.401747	1.33749	0.492034	0.000124278	-0.0441852
0.987411	0.0125893	1	0.396436	1.32418	0.487137	0.000128871	-0.0448903
0.99	0.01	1	0.39225	1.31363	0.483258	0.000132627	-0.0454563
0.992057	0.00794328	1	0.388946	1.30527	0.480183	0.00013568	-0.0459097
0.99369	0.00630957	1	0.386335	1.29864	0.477745	0.00013815	-0.0462723
0.994988	0.00501187	1	0.38427	1.29339	0.475811	0.00014014	-0.0465618
0.996019	0.00398107	1	0.382634	1.28922	0.474277	0.00014174	-0.0467928
0.996838	0.00316228	1	0.381338	1.28591	0.473059	0.000143022	-0.0469768
0.997488	0.00251189	1	0.380311	1.28328	0.472093	0.000144047	-0.0471234
0.998005	0.00199526	1	0.379497	1.2812	0.471326	0.000144867	-0.0472401
0.998415	0.00158489	1	0.378851	1.27954	0.470717	0.000145521	-0.0473329
0.998741	0.00125893	1	0.378338	1.27823	0.470233	0.000146042	-0.0474068
0.999	0.001	1	0.377931	1.27718	0.469849	0.000146457	-0.0474655
1.00126	-0.00125893	1	0.374393	1.26809	0.466504	0.000150124	-0.0479801
1.00158	-0.00158489	1	0.373885	1.26678	0.466022	0.00015066	-0.0480547
1.002	-0.00199526	1	0.373245	1.26513	0.465415	0.000151337	-0.0481487
1.00251	-0.00251189	1	0.372441	1.26305	0.464652	0.000152194	-0.0482673
1.00316	-0.00316228	1	0.371431	1.26044	0.463692	0.000153278	-0.0484169
1.00398	-0.00398107	1	0.370161	1.25716	0.462484	0.000154652	-0.0486057
1.00501	-0.00501187	1	0.368567	1.25303	0.460965	0.000156398	-0.0488442
1.00631	-0.00630957	1	0.366567	1.24784	0.459056	0.000158621	-0.0491458
1.00794	-0.00794328	1	0.36406	1.24132	0.456656	0.00016146	-0.0495273
1.01	-0.01	1	0.360921	1.23313	0.453643	0.000165098	-0.0500109
1.01259	-0.0125893	1	0.356997	1.22285	0.44986	0.000169781	-0.0506247
1.01585	-0.0158489	1	0.352099	1.20996	0.445118	0.000175843	-0.0514054
1.01995	-0.0199526	1	0.346003	1.19381	0.439178	0.000183747	-0.0524012
1.02512	-0.0251189	1	0.338438	1.17362	0.431751	0.000194142	-0.0536754
1.03162	-0.0316228	1	0.329089	1.14844	0.422488	0.000207962	-0.0553127
1.03981	-0.0398107	1	0.317597	1.11713	0.410971	0.000226581	-0.0574273
1.05012	-0.0501187	1	0.303571	1.07839	0.396716	0.000252076	-0.0601759
1.0631	-0.0630957	1	0.286616	1.03074	0.379187	0.000287681	-0.0637768
1.07943	-0.0794328	1	0.266379	0.972683	0.35783	0.000338583	-0.0685401
1.1	-0.1	1	0.242641	0.902883	0.332152	0.000413383	-0.0749163
1.12589	-0.125893	1	0.215441	0.820541	0.30186	0.000526797	-0.0835738
1.15849	-0.158489	1	0.185254	0.725997	0.26708	0.00070476	-0.0955289
1.19953	-0.199526	1	0.153154	0.621462	0.228623	0.000994065	-0.112362
1.25119	-0.251189	1	0.120878	0.511615	0.188213	0.00148023	-0.136575
1.31623	-0.316228	1	0.090619	0.403483	0.148433	0.00231908	-0.172171
1.39811	-0.398107	1	0.0644912	0.305011	0.112207	0.00378751	-0.225527
1.50119	-0.501187	1	0.0438336	0.222596	0.0818884	0.00635392	-0.306567
1.63096	-0.630957	1	0.0288216	0.159014	0.058498	0.010754	-0.430001
1.79433	-0.794328	1	0.0186527	0.113219	0.0416509	0.0180365	-0.616069
2	-1	1	0.0120965	0.08184	0.0301072	0.029531	-0.8899
