# Filename: 2Dvpt_quench_vsl_T_0.99_0.1_lmax10_dl0.001_tmax100_dt3.5e-07_BC1_new.dat
# Source: 2Dvpt_quench.c
# Source version: 7 (2011 Sep 13 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.99, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, t0=1, tmax=100, dt=3.5e-07, (dtfrac=0.7), a0=1, a02=1, a04=1, K0c=0.747853, NDflowTOL=1e-06
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 3.500000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G	dGda
0.99	0.01	0	0.755407	1	0.000578213	-0.00273783
0.99	0.01	0.04	0.753799	0.997872	0.000478325	-0.00217144
0.99	0.01	0.08	0.752245	0.995814	0.00039585	-0.00172302
0.99	0.01	0.12	0.750741	0.993823	0.000327722	-0.00136781
0.99	0.01	0.16	0.749285	0.991896	0.00027142	-0.0010863
0.99	0.01	0.2	0.747876	0.99003	0.000224872	-0.000863089
0.99	0.01	0.24	0.74651	0.988222	0.000186371	-0.000686019
0.99	0.01	0.28	0.745186	0.98647	0.000154515	-0.00054549
0.99	0.01	0.32	0.743903	0.984771	0.000128146	-0.000433912
0.99	0.01	0.36	0.742658	0.983122	0.00010631	-0.000345283
0.99	0.01	0.4	0.741449	0.981523	8.82226e-05	-0.000274855
0.99	0.01	0.44	0.740276	0.97997	7.32344e-05	-0.000218867
0.99	0.01	0.48	0.739137	0.978461	6.08102e-05	-0.000174342
0.99	0.01	0.52	0.738029	0.976996	5.0508e-05	-0.00013892
0.99	0.01	0.56	0.736953	0.975571	4.19627e-05	-0.00011073
0.99	0.01	0.6	0.735907	0.974186	3.48724e-05	-8.8287e-05
0.99	0.01	0.64	0.734889	0.972839	2.89877e-05	-7.04137e-05
0.99	0.01	0.68	0.733899	0.971528	2.41021e-05	-5.61749e-05
0.99	0.01	0.72	0.732936	0.970253	2.00448e-05	-4.4828e-05
0.99	0.01	0.76	0.731998	0.969011	1.66745e-05	-3.57828e-05
0.99	0.01	0.8	0.731084	0.967802	1.38741e-05	-2.85702e-05
0.99	0.01	0.84	0.730194	0.966623	1.15467e-05	-2.28174e-05
0.99	0.01	0.88	0.729327	0.965475	9.61178e-06	-1.82274e-05
0.99	0.01	0.92	0.728482	0.964357	8.00283e-06	-1.45644e-05
0.99	0.01	0.96	0.727658	0.963266	6.66462e-06	-1.16402e-05
0.99	0.01	1	0.726854	0.962202	5.55131e-06	-9.30531e-06
0.99	0.01	1.04	0.72607	0.961164	4.6249e-06	-7.44043e-06
0.99	0.01	1.08	0.725306	0.960152	3.85384e-06	-5.95061e-06
0.99	0.01	1.12	0.724559	0.959164	3.21194e-06	-4.76011e-06
0.99	0.01	1.16	0.723831	0.958199	2.67745e-06	-3.80859e-06
0.99	0.01	1.2	0.723119	0.957258	2.23231e-06	-3.04789e-06
0.99	0.01	1.24	0.722425	0.956338	1.8615e-06	-2.43961e-06
0.99	0.01	1.28	0.721746	0.95544	1.55256e-06	-1.95311e-06
0.99	0.01	1.32	0.721083	0.954562	1.29511e-06	-1.56392e-06
0.99	0.01	1.36	0.720435	0.953704	1.08053e-06	-1.25251e-06
0.99	0.01	1.4	0.719802	0.952866	9.01642e-07	-1.00329e-06
0.99	0.01	1.44	0.719183	0.952047	7.52491e-07	-8.03806e-07
0.99	0.01	1.48	0.718577	0.951245	6.2811e-07	-6.44093e-07
0.99	0.01	1.52	0.717985	0.950461	5.24367e-07	-5.16202e-07
0.99	0.01	1.56	0.717406	0.949695	4.37823e-07	-4.13773e-07
0.99	0.01	1.6	0.71684	0.948945	3.65616e-07	-3.31722e-07
0.99	0.01	1.64	0.716285	0.948211	3.0536e-07	-2.65983e-07
0.99	0.01	1.68	0.715743	0.947493	2.5507e-07	-2.13305e-07
0.99	0.01	1.72	0.715212	0.94679	2.13091e-07	-1.71086e-07
0.99	0.01	1.76	0.714692	0.946102	1.78044e-07	-1.37243e-07
0.99	0.01	1.8	0.714183	0.945428	1.48781e-07	-1.1011e-07
0.99	0.01	1.84	0.713684	0.944768	1.24343e-07	-8.83544e-08
0.99	0.01	1.88	0.713196	0.944121	1.03932e-07	-7.09068e-08
0.99	0.01	1.92	0.712718	0.943488	8.68821e-08	-5.69123e-08
0.99	0.01	1.96	0.712249	0.942868	7.26378e-08	-4.56859e-08
0.99	0.01	2	0.71179	0.94226	6.07359e-08	-3.66787e-08
0.99	0.01	2.04	0.71134	0.941664	5.079e-08	-2.94511e-08
0.99	0.01	2.08	0.710898	0.94108	4.24776e-08	-2.36506e-08
0.99	0.01	2.12	0.710466	0.940507	3.55295e-08	-1.89948e-08
0.99	0.01	2.16	0.710042	0.939946	2.97211e-08	-1.52574e-08
0.99	0.01	2.2	0.709626	0.939396	2.48649e-08	-1.22568e-08
0.99	0.01	2.24	0.709219	0.938856	2.08043e-08	-9.84743e-09
0.99	0.01	2.28	0.708819	0.938327	1.74086e-08	-7.91256e-09
0.99	0.01	2.32	0.708426	0.937808	1.45686e-08	-6.35857e-09
0.99	0.01	2.36	0.708042	0.937298	1.21931e-08	-5.11033e-09
0.99	0.01	2.4	0.707664	0.936798	1.02059e-08	-4.10756e-09
0.99	0.01	2.44	0.707294	0.936308	8.54339e-09	-3.3019e-09
0.99	0.01	2.48	0.70693	0.935827	7.15235e-09	-2.65453e-09
0.99	0.01	2.52	0.706573	0.935354	5.98834e-09	-2.1343e-09
0.99	0.01	2.56	0.706223	0.93489	5.01422e-09	-1.71619e-09
0.99	0.01	2.6	0.705879	0.934435	4.19892e-09	-1.38012e-09
0.99	0.01	2.64	0.705541	0.933988	3.51649e-09	-1.10997e-09
