# Filename: 3Dvlt_macro_cp_table_long_DiffAlphas.dat
# Source: 3Dvlt_macro_cp_table.c
# Source version: 1 (2011 Oct 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# T (K)	P (bar)	Rho or Alpha etc (kg/m^3 or K^-1 etc)
1.45	15.199	-0.01864536842767579
1.50	15.199	-0.02217221659682123
1.55	15.199	-0.0262300272322369
1.60	15.199	-0.03094184772355673
1.65	15.199	-0.036467735396768
1.70	15.199	-0.04301142572348391
1.75	15.199	-0.05082748739576164
1.80	15.199	-0.06022896441752995
1.85	15.199	-0.07159550549075888
1.90	15.199	-0.08538198111162208
1.95	15.199	-0.1021275889476363
2.00	15.199	-0.1224654482288137
2.05	15.199	-0.1471326840591306
2.10	15.199	-0.1769810027357764
0.10	17.732	0.002625505599606722
0.15	17.732	0.00228767748506568
0.20	17.732	0.001686721571720548
0.25	17.732	0.0009959354828641854
0.30	17.732	0.0003365158050118592
0.35	17.732	-0.0002140859446817069
0.40	17.732	-0.0006144484251897043
0.45	17.732	-0.0008521060736832917
0.50	17.732	-0.0009371146131632233
0.55	17.732	-0.0008962558692297745
0.60	17.732	-0.0007678812959440085
0.65	17.732	-0.0005973936091423467
0.70	17.732	-0.0004333659252161514
0.75	17.732	-0.0003242978036197563
0.80	17.732	-0.0003160075917780506
0.85	17.732	-0.0004496604714152165
0.90	17.732	-0.000760431605376904
0.95	17.732	-0.00127680378428402
1.00	17.732	-0.002020498972266836
1.05	17.732	-0.003007043152624036
1.10	17.732	-0.004246963875820431
1.15	17.732	-0.005747619917693186
1.20	17.732	-0.007515662462436897
1.25	17.732	-0.009560127238189775
1.30	17.732	-0.01189615704998734
1.35	17.732	-0.0145493541806603
1.40	17.732	-0.01756076216387883
1.45	17.732	-0.02099247647851511
1.50	17.732	-0.02493388376979133
1.55	17.732	-0.0295085292743622
1.60	17.732	-0.03488161221301311
1.65	17.732	-0.041268109018112
1.70	17.732	-0.04894152438675591
1.75	17.732	-0.05824327029071208
1.80	17.732	-0.06959267323834738
1.85	17.732	-0.08349761026291899
1.90	17.732	-0.1005657743124899
1.95	17.732	-0.1215165699356886
2.00	17.732	-0.1471936403837344
2.05	17.732	-0.1785780274934515
2.10	17.732	-0.2168019659608222
0.10	20.265	0.003021873409153497
0.15	20.265	0.002637313599305617
0.20	20.265	0.001938189588186449
0.25	20.265	0.001131322620327964
0.30	20.265	0.0003611793540905592
0.35	20.265	-0.0002800407196111565
0.40	20.265	-0.0007431001245872191
0.45	20.265	-0.001013199755087256
0.50	20.265	-0.001102235965948156
0.55	20.265	-0.001041837613004413
0.60	20.265	-0.0008771822542001733
0.65	20.265	-0.0006615907192785695
0.70	20.265	-0.00045189925562742
0.75	20.265	-0.0003046084579373598
0.80	20.265	-0.0002728081903667126
0.85	20.265	-0.0004038777098808518
0.90	20.265	-0.0007379602002303423
0.95	20.265	-0.001307210925495692
1.00	20.265	-0.002135818213093191
1.05	20.265	-0.003240796477228965
1.10	20.265	-0.004633550497308776
1.15	20.265	-0.006322210172939039
1.20	20.265	-0.00831473498771342
1.25	20.265	-0.01062278743383504
1.30	20.265	-0.01326637467459579
1.35	20.265	-0.01627925776059325
1.40	20.265	-0.0197151277663636
1.45	20.265	-0.02365454828040548
1.50	20.265	-0.02821266376744445
1.55	20.265	-0.03354767342667832
1.60	20.265	-0.0398700703007972
1.65	20.265	-0.0474526455438238
1.70	20.265	-0.05664125793787417
1.75	20.265	-0.06786636895750275
1.80	20.265	-0.08165534392059717
1.85	20.265	-0.09864552002556992
1.90	20.265	-0.1195980423630162
1.95	20.265	-0.145412469306953
2.00	20.265	-0.1771421490063311
2.05	20.265	-0.2160103690392527
2.10	20.265	-0.2634272816201233
0.10	22.798	0.003444964549592625
0.15	22.798	0.00298669096774231
0.20	22.798	0.002165192590680149
0.25	22.798	0.001223598182312438
0.30	22.798	0.0003311116473318981
0.35	22.798	-0.0004048711288735437
0.40	22.798	-0.0009276026250038089
0.45	22.798	-0.001220780198607292
0.50	22.798	-0.001299297731008218
0.55	22.798	-0.001200951347200757
0.60	22.798	-0.0009790981473462412
0.65	22.798	-0.000696266882876098
0.70	22.798	-0.0004187195097461856
0.75	22.798	-0.0002119625517852574
0.80	22.798	-0.0001372072083483202
0.85	22.798	-0.0002487771411582951
0.90	22.798	-0.0005924628753215871
0.95	22.798	-0.001204821749803891
1.00	22.798	-0.002113422353009492
1.05	22.798	-0.003338032381694728
1.10	22.798	-0.004892748865882145
1.15	22.798	-0.006789069714904989
1.20	22.798	-0.009039905554792817
1.25	22.798	-0.01166453085963562
1.30	22.798	-0.01469447341785916
1.35	22.798	-0.01818034123546394
1.40	22.798	-0.02219958605858665
1.45	22.798	-0.02686520280049877
1.50	22.798	-0.03233536429109664
1.55	22.798	-0.03882399093441636
1.60	22.798	-0.04661225505736047
1.65	22.798	-0.05606101997348864
1.70	22.798	-0.06762421406425874
1.75	22.798	-0.08186314049956285
1.80	22.798	-0.09946172357876853
1.85	22.798	-0.1212426930758463
1.90	22.798	-0.1481847083837739
1.95	22.798	-0.1814404247344453
2.00	22.798	-0.2223555042070321
2.05	22.798	-0.2724885747261651
2.10	22.798	-0.3336321406969031
0.10	25.331	0.003836018189386666
0.15	25.331	0.003241029377247148
0.20	25.331	0.002267986427498565
0.25	25.331	0.001192366297389295
0.30	25.331	0.0002014406313752316
0.35	25.331	-0.000590483084229346
0.40	25.331	-0.001128089490773129
0.45	25.331	-0.001402351047065067
0.50	25.331	-0.001439089997062855
0.55	25.331	-0.001288805149862033
0.60	25.331	-0.001017761994442924
0.65	25.331	-0.0007003446668469763
0.70	25.331	-0.0004126682870062191
0.75	25.331	-0.0002274501837580276
0.80	25.331	-0.0002101385285597443
0.85	25.331	-0.0004162968991472206
0.90	25.331	-0.0008902432948956847
0.95	25.331	-0.001664942125447844
1.00	25.331	-0.002763147694602897
1.05	25.331	-0.004199797705838393
1.10	25.331	-0.005985655323193071
1.15	25.331	-0.008132198341153063
1.20	25.331	-0.01065775404476687
1.25	25.331	-0.01359487839163705
1.30	25.331	-0.01699897821556543
1.35	25.331	-0.02095817525081867
1.40	25.331	-0.02560441090981039
1.45	25.331	-0.03112579091794604
1.50	25.331	-0.0377801691297367
1.55	25.331	-0.04590997012316211
1.60	25.331	-0.05595825049450599
1.65	25.331	-0.06848599916779874
1.70	25.331	-0.0841906774801458
1.75	25.331	-0.1039260003142407
1.80	25.331	-0.1287229601245367
1.85	25.331	-0.1598120963150002
1.90	25.331	-0.198647013078293
1.95	25.331	-0.2469291495025821
2.00	25.331	-0.3066338064090268
2.05	25.331	-0.38003743505837
2.10	25.331	-0.4697461934503061
