# Filename: 3Dvlt_quench_vst_T_1_0.5_P_00.050_lmax4_dl0.0016_tmax100_dt1.28e-06_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 8 (2011 Jun 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=4, lsteps=2500, (dl=0.0016), lpts=2501, ldatamax=250, t0, tmax=1, dt=100, (dtfrac=1.28e-06), a0=1, a02=1, a03=1, a06=1, FPconst=1, fp1=1, fp2=-1.5, fp3=1.5, fp4=-0.75, fp5=1
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	1	0	4	0.387502	1.31084	0.0240088	2.35642e-12	0.203335
1	1.28e-06	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35826e-12	0.203334
2	2.56e-06	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35826e-12	0.203333
3	3.84e-06	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35826e-12	0.203333
4	5.12e-06	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35826e-12	0.203332
6	7.68e-06	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35826e-12	0.203331
8	1.024e-05	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35826e-12	0.20333
10	1.28e-05	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35827e-12	0.203329
12	1.536e-05	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35827e-12	0.203328
14	1.792e-05	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35827e-12	0.203327
17	2.176e-05	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35827e-12	0.203325
20	2.56e-05	0.5	0.5	4	0.391284	0.661815	0.0121216	2.35828e-12	0.203323
24	3.072e-05	0.5	0.5	4	0.391284	0.661816	0.0121216	2.35828e-12	0.203321
28	3.584e-05	0.5	0.5	4	0.391284	0.661816	0.0121216	2.35828e-12	0.203318
32	4.096e-05	0.5	0.5	4	0.391284	0.661816	0.0121216	2.35829e-12	0.203316
37	4.736e-05	0.5	0.5	4	0.391284	0.661816	0.0121216	2.35829e-12	0.203313
43	5.504e-05	0.5	0.5	4	0.391284	0.661816	0.0121216	2.3583e-12	0.20331
49	6.272e-05	0.5	0.5	4	0.391284	0.661816	0.0121216	2.3583e-12	0.203306
56	7.168e-05	0.5	0.5	4	0.391284	0.661817	0.0121216	2.35831e-12	0.203302
64	8.192e-05	0.5	0.5	4	0.391285	0.661817	0.0121216	2.35832e-12	0.203297
73	9.344e-05	0.5	0.5	4	0.391285	0.661817	0.0121216	2.35832e-12	0.203292
83	0.00010624	0.5	0.5	4	0.391285	0.661817	0.0121216	2.35833e-12	0.203286
