# Filename: 3Dvlt_quench_vst_T_1_0.5_P_00.050_lmax1_dl0.001_tmax100_dt2.5e-07_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 8 (2011 Jun 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=100, t0, tmax=1, dt=100, (dtfrac=2.5e-07), a0=0.5, a02=1, a03=1, a06=1, FPconst=1, PflowTOL=1, fp1=1e-05, fp2=-1.5, fp3=1.5, fp4=-0.75, fp5=1
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	1	0	1	0.376362	1.27315	0.468367	0.00014807	0.190684
1	2.5e-07	0.5	0.5	1	0.490995	0.830466	0.305511	0.000147996	0.190647
2	5e-07	0.5	0.5	1	0.490995	0.830466	0.305511	0.000147995	0.190647
3	7.5e-07	0.5	0.5	1	0.490995	0.830466	0.305511	0.000147993	0.190647
4	1e-06	0.5	0.5	1	0.490995	0.830466	0.305511	0.000147991	0.190646
6	1.5e-06	0.5	0.5	1	0.490995	0.830467	0.305512	0.000147988	0.190646
8	2e-06	0.5	0.5	1	0.490995	0.830467	0.305512	0.000147985	0.190646
10	2.5e-06	0.5	0.5	1	0.490996	0.830467	0.305512	0.000147982	0.190646
12	3e-06	0.5	0.5	1	0.490996	0.830468	0.305512	0.00014798	0.190646
14	3.5e-06	0.5	0.5	1	0.490996	0.830468	0.305512	0.000147977	0.190645
17	4.25e-06	0.5	0.5	1	0.490996	0.830469	0.305512	0.000147973	0.190645
20	5e-06	0.5	0.5	1	0.490997	0.830469	0.305513	0.000147969	0.190645
24	6e-06	0.5	0.5	1	0.490997	0.83047	0.305513	0.000147965	0.190644
28	7e-06	0.5	0.5	1	0.490998	0.830471	0.305513	0.00014796	0.190644
32	8e-06	0.5	0.5	1	0.490998	0.830471	0.305513	0.000147956	0.190643
37	9.25e-06	0.5	0.5	1	0.490999	0.830472	0.305514	0.000147951	0.190643
43	1.075e-05	0.5	0.5	1	0.490999	0.830473	0.305514	0.000147946	0.190642
49	1.225e-05	0.5	0.5	1	0.491	0.830475	0.305515	0.00014794	0.190641
56	1.4e-05	0.5	0.5	1	0.491001	0.830476	0.305515	0.000147934	0.190641
64	1.6e-05	0.5	0.5	1	0.491001	0.830477	0.305516	0.000147928	0.19064
73	1.825e-05	0.5	0.5	1	0.491002	0.830479	0.305516	0.000147921	0.190639
83	2.075e-05	0.5	0.5	1	0.491004	0.830481	0.305517	0.000147914	0.190638
94	2.35e-05	0.5	0.5	1	0.491005	0.830483	0.305518	0.000147907	0.190636
107	2.675e-05	0.5	0.5	1	0.491006	0.830485	0.305519	0.000147899	0.190635
121	3.025e-05	0.5	0.5	1	0.491008	0.830488	0.305519	0.000147891	0.190633
137	3.425e-05	0.5	0.5	1	0.49101	0.830491	0.305521	0.000147882	0.190631
155	3.875e-05	0.5	0.5	1	0.491012	0.830494	0.305522	0.000147873	0.190629
175	4.375e-05	0.5	0.5	1	0.491014	0.830498	0.305523	0.000147863	0.190627
197	4.925e-05	0.5	0.5	1	0.491016	0.830502	0.305525	0.000147853	0.190625
222	5.55e-05	0.5	0.5	1	0.491019	0.830507	0.305526	0.000147842	0.190622
250	6.25e-05	0.5	0.5	1	0.491022	0.830512	0.305528	0.00014783	0.190618
282	7.05e-05	0.5	0.5	1	0.491026	0.830518	0.305531	0.000147818	0.190615
318	7.95e-05	0.5	0.5	1	0.49103	0.830525	0.305533	0.000147804	0.190611
357	8.925e-05	0.5	0.5	1	0.491034	0.830532	0.305536	0.000147791	0.190606
402	0.0001005	0.5	0.5	1	0.491039	0.830541	0.305539	0.000147776	0.190601
452	0.000113	0.5	0.5	1	0.491045	0.83055	0.305542	0.00014776	0.190595
508	0.000127	0.5	0.5	1	0.491051	0.830561	0.305546	0.000147744	0.190588
572	0.000143	0.5	0.5	1	0.491058	0.830573	0.305551	0.000147726	0.190581
642	0.0001605	0.5	0.5	1	0.491066	0.830586	0.305556	0.000147708	0.190573
722	0.0001805	0.5	0.5	1	0.491075	0.830602	0.305561	0.000147688	0.190563
811	0.00020275	0.5	0.5	1	0.491085	0.830619	0.305568	0.000147667	0.190552
911	0.00022775	0.5	0.5	1	0.491096	0.830638	0.305575	0.000147644	0.19054
1023	0.00025575	0.5	0.5	1	0.491109	0.830659	0.305582	0.000147621	0.190527
1149	0.00028725	0.5	0.5	1	0.491123	0.830683	0.305591	0.000147596	0.190511
1290	0.0003225	0.5	0.5	1	0.491139	0.83071	0.305601	0.000147569	0.190494
1449	0.00036225	0.5	0.5	1	0.491157	0.830741	0.305613	0.00014754	0.190475
1627	0.00040675	0.5	0.5	1	0.491178	0.830775	0.305625	0.00014751	0.190453
1826	0.0004565	0.5	0.5	1	0.4912	0.830814	0.305639	0.000147478	0.190428
2050	0.0005125	0.5	0.5	1	0.491226	0.830857	0.305655	0.000147444	0.1904
2301	0.00057525	0.5	0.5	1	0.491255	0.830906	0.305673	0.000147408	0.190368
2583	0.00064575	0.5	0.5	1	0.491287	0.830961	0.305693	0.000147369	0.190333
2899	0.00072475	0.5	0.5	1	0.491324	0.831022	0.305716	0.000147328	0.190292
3254	0.0008135	0.5	0.5	1	0.491365	0.831092	0.305742	0.000147285	0.190247
3652	0.000913	0.5	0.5	1	0.491411	0.83117	0.30577	0.000147238	0.190195
4099	0.00102475	0.5	0.5	1	0.491463	0.831258	0.305803	0.000147189	0.190137
4600	0.00115	0.5	0.5	1	0.491522	0.831357	0.305839	0.000147136	0.190071
5162	0.0012905	0.5	0.5	1	0.491588	0.831469	0.30588	0.000147079	0.189996
5793	0.00144825	0.5	0.5	1	0.491662	0.831594	0.305926	0.000147019	0.189912
6501	0.00162525	0.5	0.5	1	0.491745	0.831736	0.305978	0.000146955	0.189817
7296	0.001824	0.5	0.5	1	0.49184	0.831895	0.306037	0.000146886	0.189709
8187	0.00204675	0.5	0.5	1	0.491946	0.832075	0.306103	0.000146813	0.189587
9187	0.00229675	0.5	0.5	1	0.492065	0.832277	0.306178	0.000146735	0.189449
10309	0.00257725	0.5	0.5	1	0.4922	0.832505	0.306261	0.000146651	0.189293
11568	0.002892	0.5	0.5	1	0.492352	0.832762	0.306356	0.000146561	0.189116
12980	0.003245	0.5	0.5	1	0.492524	0.833052	0.306463	0.000146464	0.188917
14565	0.00364125	0.5	0.5	1	0.492717	0.833379	0.306583	0.000146361	0.188691
16343	0.00408575	0.5	0.5	1	0.492935	0.833748	0.306719	0.00014625	0.188436
18339	0.00458475	0.5	0.5	1	0.493181	0.834164	0.306872	0.00014613	0.188147
20577	0.00514425	0.5	0.5	1	0.493459	0.834633	0.307044	0.000146001	0.187822
23089	0.00577225	0.5	0.5	1	0.493772	0.835164	0.30724	0.000145862	0.187453
25908	0.006477	0.5	0.5	1	0.494126	0.835763	0.30746	0.000145712	0.187037
29070	0.0072675	0.5	0.5	1	0.494526	0.836439	0.307709	0.00014555	0.186568
32618	0.0081545	0.5	0.5	1	0.494978	0.837203	0.30799	0.000145374	0.186039
36599	0.00914975	0.5	0.5	1	0.495488	0.838067	0.308307	0.000145183	0.185442
41066	0.0102665	0.5	0.5	1	0.496066	0.839043	0.308667	0.000144975	0.184771
