# Filename: vlt_FPquench_vst_3_T_1_0.5_P_00.050_lmax10_dl0.04_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 7 (2011 Apr 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=250, (dl=0.04), lpts=251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=1, Lconst=1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
0	0	1	0	10	0.388986	1.31586	5.97398e-05	5.41433e-28	0.213475
1	0.0001	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.212784
2	0.0002	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.212697
3	0.0003	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.21261
4	0.0004	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.212524
6	0.0006	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.212352
8	0.0008	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.21218
10	0.001	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.21201
12	0.0012	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.21184
14	0.0014	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.211671
17	0.0017	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.211419
20	0.002	0.5	0.5	10	0.36552	0.618238	2.8068e-05	5.59242e-28	0.211169
24	0.0024	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.210836
28	0.0028	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.210506
32	0.0032	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.210178
37	0.0037	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.20977
43	0.0043	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.209284
49	0.0049	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.208802
56	0.0056	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.208242
64	0.0064	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.207608
73	0.0073	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.206899
83	0.0083	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.206119
94	0.0094	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.205267
107	0.0107	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.204271
121	0.0121	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.203208
137	0.0137	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.202008
155	0.0155	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.200673
175	0.0175	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.19921
197	0.0197	0.5	0.5	10	0.36552	0.618239	2.8068e-05	5.59242e-28	0.197623
222	0.0222	0.5	0.5	10	0.365521	0.61824	2.8068e-05	5.59242e-28	0.195848
250	0.025	0.5	0.5	10	0.365521	0.61824	2.8068e-05	5.59242e-28	0.193893
282	0.0282	0.5	0.5	10	0.365521	0.61824	2.8068e-05	5.59242e-28	0.191703
318	0.0318	0.5	0.5	10	0.365521	0.61824	2.80681e-05	5.59242e-28	0.18929
357	0.0357	0.5	0.5	10	0.365521	0.61824	2.80681e-05	5.59242e-28	0.186736
402	0.0402	0.5	0.5	10	0.365521	0.618241	2.80681e-05	5.59242e-28	0.183862
452	0.0452	0.5	0.5	10	0.365521	0.618241	2.80681e-05	5.59242e-28	0.180757
508	0.0508	0.5	0.5	10	0.365522	0.618241	2.80681e-05	5.59242e-28	0.177384
572	0.0572	0.5	0.5	10	0.365522	0.618242	2.80681e-05	5.59242e-28	0.173657
642	0.0642	0.5	0.5	10	0.365522	0.618242	2.80681e-05	5.59242e-28	0.169726
722	0.0722	0.5	0.5	10	0.365522	0.618243	2.80682e-05	5.59242e-28	0.16541
811	0.0811	0.5	0.5	10	0.365523	0.618243	2.80682e-05	5.59242e-28	0.160813
911	0.0911	0.5	0.5	10	0.365523	0.618244	2.80682e-05	5.59242e-28	0.155887
