# Filename: 3Dvlt_K0cFind2_Plot_Output1.dat
# Source: 3Dvlt_K0cFind2.c
# Source version: 1 (2012 May 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: B=41.3417022403997549418, THETA=0.6, N=1, Kstar=0.387508189712343020794, ystar=0.0624210054576019579553, c=0.59685598937817407883, Z=3.70526847921412860742, lambda=-1.4887856795577869562, dataskip=1000, initialAbsdK=9.99999999999999979098e-17, trajectoryAbsdK=9.99999999999999954748e-07, uncertainty=1e-17
# Cc	K0c
1.2	0.280544217466818
1.1	0.296468848176885
1	0.315035916884172
0.9	0.337035282063381
0.8	0.363622777943947
0.7	0.396567060347724
0.6	0.438731092702121
0.5	0.495108373281203
0.4	0.575343510062562
0.3	0.701091018298176
0.2	0.934655047397798
0.1	1.57618710811755
0.1	1.57618710811755
