Cc	K0c
1.2	0.280544308975229
1.1	0.296468939006784
1.06	0.30354071294185
1.05	0.305379423608169
1.04	0.307247922776542
1.03	0.309146998428258
1.02	0.311077467512369
1.01	0.313040177313466
1	0.315036006898571
0.99	0.317065868648624
0.98	0.319130709880376
0.97	0.321231514565087
0.9	0.337035371070207
0.8	0.36362286558404
0.7	0.39656697289679
0.6	0.438731007210037
0.55	0.464697047043989
0.5	0.495108289977297
0.4	0.575343429658511
0.3	0.701090942081052
0.2	0.934654978144903
0.1	1.57618705511977
0	5.10504516605344
0	5.10504516605344
