# Filename: 3Dvlt_K0cFind2_Plot_Output1_try12.dat
# Source: 3Dvlt_K0cFind2.c
# Source version: 1 (2012 May 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: B=41.3417022403997549418, THETA=0.6, N=1, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, dataskip=1000000, Op=1, initialAbsdK=9.99999999999999954748e-08, trajectoryAbsdK=9.99999999999999954748e-08, uncertainty=1e-17
# Cc	K0c
1.2	0
1.1	0.296468929903438
1	0.315035997871824
0.9	0.337035362134824
0.8	0.363622856759663
0.7	0.39656698158283
0.6	0.438731015732618
0.5	0.495108298284232
0.4	0.57534343766129
0.3	0.701090949639134
0.2	0.93465498495173
0.1	0
