T/Tc	1-T/Tc	l	K	G	K/K0
0.95	0.05	0	0.787214	0.00042243	1
0.95	0.05	0.0001	0.78721	0.000422221	0.999996
0.95	0.05	0.0002	0.787207	0.000422012	0.999992
0.95	0.05	0.0003	0.787204	0.000421803	0.999988
0.95	0.05	0.0004	0.787201	0.000421595	0.999984
0.95	0.05	0.0005	0.787197	0.000421386	0.999979
0.95	0.05	0.0006	0.787194	0.000421178	0.999975
0.95	0.05	0.0007	0.787191	0.00042097	0.999971
0.95	0.05	0.0008	0.787188	0.000420761	0.999967
0.95	0.05	0.0009	0.787184	0.000420553	0.999963
0.95	0.05	0.01	0.786891	0.000402048	0.99959
0.95	0.05	0.02	0.786571	0.000382657	0.999184
0.95	0.05	0.03	0.786254	0.000364209	0.998782
0.95	0.05	0.04	0.785941	0.000346657	0.998384
0.95	0.05	0.05	0.785631	0.000329957	0.99799
0.95	0.05	0.06	0.785324	0.000314068	0.9976
0.95	0.05	0.07	0.78502	0.00029895	0.997214
0.95	0.05	0.08	0.78472	0.000284565	0.996832
0.95	0.05	0.09	0.784422	0.000270877	0.996453
0.95	0.05	0.1	0.784127	0.000257853	0.996079
0.95	0.05	0.11	0.783835	0.000245459	0.995708
0.95	0.05	0.12	0.783546	0.000233665	0.995341
0.95	0.05	0.13	0.78326	0.000222442	0.994978
0.95	0.05	0.14	0.782977	0.000211762	0.994618
0.95	0.05	0.15	0.782696	0.000201598	0.994261
0.95	0.05	0.16	0.782418	0.000191925	0.993909
0.95	0.05	0.17	0.782144	0.00018272	0.993559
0.95	0.05	0.18	0.781871	0.000173959	0.993213
0.95	0.05	0.19	0.781602	0.000165621	0.992871
0.95	0.05	0.2	0.781335	0.000157685	0.992532
0.95	0.05	0.21	0.78107	0.000150132	0.992196
0.95	0.05	0.22	0.780808	0.000142943	0.991863
0.95	0.05	0.23	0.780549	0.000136101	0.991534
0.95	0.05	0.24	0.780292	0.000129588	0.991208
0.95	0.05	0.25	0.780038	0.000123389	0.990884
0.95	0.05	0.26	0.779786	0.000117488	0.990564
0.95	0.05	0.27	0.779536	0.000111871	0.990248
0.95	0.05	0.28	0.779289	0.000106525	0.989934
0.95	0.05	0.29	0.779045	0.000101435	0.989623
0.95	0.05	0.3	0.778802	9.65904e-05	0.989315
0.95	0.05	0.31	0.778562	9.19784e-05	0.98901
0.95	0.05	0.32	0.778324	8.75879e-05	0.988708
0.95	0.05	0.33	0.778089	8.34082e-05	0.988409
0.95	0.05	0.34	0.777855	7.94291e-05	0.988112
0.95	0.05	0.35	0.777624	7.5641e-05	0.987819
0.95	0.05	0.36	0.777395	7.20346e-05	0.987528
0.95	0.05	0.37	0.777168	6.86011e-05	0.98724
0.95	0.05	0.38	0.776944	6.53321e-05	0.986954
0.95	0.05	0.39	0.776721	6.22199e-05	0.986671
0.95	0.05	0.4	0.776501	5.92567e-05	0.986391
0.95	0.05	0.41	0.776282	5.64354e-05	0.986114
0.95	0.05	0.42	0.776066	5.37491e-05	0.985839
0.95	0.05	0.43	0.775851	5.11915e-05	0.985566
0.95	0.05	0.44	0.775639	4.87562e-05	0.985297
0.95	0.05	0.45	0.775428	4.64373e-05	0.985029
0.95	0.05	0.46	0.77522	4.42293e-05	0.984764
0.95	0.05	0.47	0.775013	4.21269e-05	0.984502
0.95	0.05	0.48	0.774809	4.01249e-05	0.984242
0.95	0.05	0.49	0.774606	3.82185e-05	0.983984
0.95	0.05	0.5	0.774405	3.64032e-05	0.983729
0.95	0.05	0.51	0.774206	3.46746e-05	0.983476
0.95	0.05	0.52	0.774008	3.30284e-05	0.983225
0.95	0.05	0.53	0.773813	3.14608e-05	0.982977
0.95	0.05	0.54	0.773619	2.99679e-05	0.982731
0.95	0.05	0.55	0.773427	2.85462e-05	0.982487
0.95	0.05	0.56	0.773237	2.71923e-05	0.982245
0.95	0.05	0.57	0.773048	2.5903e-05	0.982005
0.95	0.05	0.58	0.772861	2.4675e-05	0.981768
0.95	0.05	0.59	0.772676	2.35056e-05	0.981533
0.95	0.05	0.6	0.772493	2.23918e-05	0.9813
0.95	0.05	0.61	0.772311	2.1331e-05	0.981069
0.95	0.05	0.62	0.77213	2.03208e-05	0.98084
0.95	0.05	0.63	0.771952	1.93585e-05	0.980613
0.95	0.05	0.64	0.771775	1.84421e-05	0.980388
0.95	0.05	0.65	0.771599	1.75692e-05	0.980165
0.95	0.05	0.66	0.771426	1.67379e-05	0.979944
0.95	0.05	0.67	0.771253	1.5946e-05	0.979725
0.95	0.05	0.68	0.771082	1.51918e-05	0.979508
0.95	0.05	0.69	0.770913	1.44734e-05	0.979293
0.95	0.05	0.7	0.770745	1.37891e-05	0.97908
0.95	0.05	0.71	0.770579	1.31373e-05	0.978869
0.95	0.05	0.72	0.770414	1.25165e-05	0.978659
0.95	0.05	0.73	0.770251	1.19251e-05	0.978452
0.95	0.05	0.74	0.770089	1.13618e-05	0.978246
0.95	0.05	0.75	0.769928	1.08252e-05	0.978042
0.95	0.05	0.76	0.769769	1.0314e-05	0.97784
0.95	0.05	0.77	0.769611	9.82707e-06	0.977639
0.95	0.05	0.78	0.769455	9.36322e-06	0.977441
0.95	0.05	0.79	0.7693	8.92135e-06	0.977244
0.95	0.05	0.8	0.769146	8.50042e-06	0.977049
0.95	0.05	0.81	0.768994	8.09943e-06	0.976855
0.95	0.05	0.82	0.768843	7.71743e-06	0.976663
0.95	0.05	0.83	0.768693	7.35351e-06	0.976473
0.95	0.05	0.84	0.768545	7.00682e-06	0.976285
0.95	0.05	0.85	0.768397	6.67654e-06	0.976098
0.95	0.05	0.86	0.768252	6.36189e-06	0.975912
0.95	0.05	0.87	0.768107	6.06212e-06	0.975729
0.95	0.05	0.88	0.767964	5.77652e-06	0.975547
0.95	0.05	0.89	0.767821	5.50443e-06	0.975366
0.95	0.05	0.9	0.767681	5.24521e-06	0.975187
0.95	0.05	0.91	0.767541	4.99823e-06	0.97501
0.95	0.05	0.92	0.767402	4.76293e-06	0.974834
0.95	0.05	0.93	0.767265	4.53874e-06	0.974659
0.95	0.05	0.94	0.767129	4.32514e-06	0.974486
0.95	0.05	0.95	0.766994	4.12163e-06	0.974315
0.95	0.05	0.96	0.76686	3.92773e-06	0.974145
0.95	0.05	0.97	0.766727	3.74298e-06	0.973976
0.95	0.05	0.98	0.766596	3.56695e-06	0.973809
0.95	0.05	0.99	0.766465	3.39923e-06	0.973643
0.95	0.05	1	0.766336	3.23942e-06	0.973479

First adjustment of K/K0:
0	1	0.00042243
0.0001	0.999961	0.000422221
0.0002	0.999922	0.000422012
0.0003	0.999882	0.000421803
0.0004	0.999843	0.000421595
0.0005	0.999804	0.000421386
0.0006	0.999765	0.000421178
0.0007	0.999726	0.00042097
0.0008	0.999687	0.000420761
0.0009	0.999648	0.000420553
0.01	0.996115	0.000402048
0.02	0.992296	0.000382657
0.03	0.988542	0.000364209
0.04	0.98485	0.000346657
0.05	0.981221	0.000329957
0.06	0.977651	0.000314068
0.07	0.97414	0.00029895
0.08	0.970686	0.000284565
0.09	0.967289	0.000270877
0.1	0.963946	0.000257853
0.11	0.960657	0.000245459
0.12	0.95742	0.000233665
0.13	0.954234	0.000222442
0.14	0.951099	0.000211762
0.15	0.948012	0.000201598
0.16	0.944973	0.000191925
0.17	0.941981	0.00018272
0.18	0.939035	0.000173959
0.19	0.936134	0.000165621
0.2	0.933277	0.000157685
0.21	0.930463	0.000150132
0.22	0.927691	0.000142943
0.23	0.92496	0.000136101
0.24	0.92227	0.000129588
0.25	0.919619	0.000123389
0.26	0.917007	0.000117488
0.27	0.914433	0.000111871
0.28	0.911896	0.000106525
0.29	0.909395	0.000101435
0.3	0.906931	9.65904e-05
0.31	0.904501	9.19784e-05
0.32	0.902106	8.75879e-05
0.33	0.899745	8.34082e-05
0.34	0.897416	7.94291e-05
0.35	0.89512	7.5641e-05
0.36	0.892856	7.20346e-05
0.37	0.890623	6.86011e-05
0.38	0.888421	6.53321e-05
0.39	0.886249	6.22199e-05
0.4	0.884106	5.92567e-05
0.41	0.881992	5.64354e-05
0.42	0.879907	5.37491e-05
0.43	0.87785	5.11915e-05
0.44	0.875819	4.87562e-05
0.45	0.873816	4.64373e-05
0.46	0.87184	4.42293e-05
0.47	0.869889	4.21269e-05
0.48	0.867963	4.01249e-05
0.49	0.866063	3.82185e-05
0.5	0.864188	3.64032e-05
0.51	0.862336	3.46746e-05
0.52	0.860508	3.30284e-05
0.53	0.858704	3.14608e-05
0.54	0.856922	2.99679e-05
0.55	0.855163	2.85462e-05
0.56	0.853427	2.71923e-05
0.57	0.851712	2.5903e-05
0.58	0.850018	2.4675e-05
0.59	0.848346	2.35056e-05
0.6	0.846694	2.23918e-05
0.61	0.845063	2.1331e-05
0.62	0.843451	2.03208e-05
0.63	0.84186	1.93585e-05
0.64	0.840288	1.84421e-05
0.65	0.838735	1.75692e-05
0.66	0.8372	1.67379e-05
0.67	0.835684	1.5946e-05
0.68	0.834187	1.51918e-05
0.69	0.832707	1.44734e-05
0.7	0.831245	1.37891e-05
0.71	0.8298	1.31373e-05
0.72	0.828372	1.25165e-05
0.73	0.826961	1.19251e-05
0.74	0.825567	1.13618e-05
0.75	0.824188	1.08252e-05
0.76	0.822826	1.0314e-05
0.77	0.82148	9.82707e-06
0.78	0.820149	9.36322e-06
0.79	0.818834	8.92135e-06
0.8	0.817533	8.50042e-06
0.81	0.816248	8.09943e-06
0.82	0.814977	7.71743e-06
0.83	0.81372	7.35351e-06
0.84	0.812478	7.00682e-06
0.85	0.81125	6.67654e-06
0.86	0.810035	6.36189e-06
0.87	0.808834	6.06212e-06
0.88	0.807647	5.77652e-06
0.89	0.806472	5.50443e-06
0.9	0.805311	5.24521e-06
0.91	0.804162	4.99823e-06
0.92	0.803027	4.76293e-06
0.93	0.801903	4.53874e-06
0.94	0.800792	4.32514e-06
0.95	0.799693	4.12163e-06
0.96	0.798606	3.92773e-06
0.97	0.797531	3.74298e-06
0.98	0.796467	3.56695e-06
0.99	0.795415	3.39923e-06
1	0.794374	3.23942e-06

t = 1

T/Tc	1-T/Tc	l	K	K/K0	G

After adjusting G:
0	1	0.000422546
0.0001	0.999961	0.000422546
0.0002	0.999922	0.000422053
0.0003	0.999882	0.000421803
0.0004	0.999843	0.000421594
0.0005	0.999804	0.000421386
0.0006	0.999765	0.000421177
0.0007	0.999726	0.000420969
0.0008	0.999687	0.000420761
0.0009	0.999648	0.000420553
0.01	0.996115	0.000402047
0.02	0.992296	0.000382657
0.03	0.988542	0.000364208
0.04	0.98485	0.000346657
0.05	0.981221	0.000329957
0.06	0.977651	0.000314068
0.07	0.97414	0.00029895
0.08	0.970686	0.000284565
0.09	0.967289	0.000270877
0.1	0.963946	0.000257852
0.11	0.960657	0.000245459
0.12	0.95742	0.000233665
0.13	0.954234	0.000222442
0.14	0.951099	0.000211761
0.15	0.948012	0.000201597
0.16	0.944973	0.000191925
0.17	0.941981	0.000182719
0.18	0.939035	0.000173958
0.19	0.936134	0.00016562
0.2	0.933277	0.000157685
0.21	0.930463	0.000150132
0.22	0.927691	0.000142943
0.23	0.92496	0.000136101
0.24	0.92227	0.000129588
0.25	0.919619	0.000123389
0.26	0.917007	0.000117488
0.27	0.914433	0.000111871
0.28	0.911896	0.000106525
0.29	0.909395	0.000101435
0.3	0.906931	9.65904e-05
0.31	0.904501	9.19783e-05
0.32	0.902106	8.75878e-05
0.33	0.899745	8.34081e-05
0.34	0.897416	7.94291e-05
0.35	0.89512	7.56409e-05
0.36	0.892856	7.20345e-05
0.37	0.890623	6.8601e-05
0.38	0.888421	6.53321e-05
0.39	0.886249	6.22198e-05
0.4	0.884106	5.92566e-05
0.41	0.881992	5.64353e-05
0.42	0.879907	5.37491e-05
0.43	0.87785	5.11914e-05
0.44	0.875819	4.87561e-05
0.45	0.873816	4.64373e-05
0.46	0.87184	4.42293e-05
0.47	0.869889	4.21269e-05
0.48	0.867963	4.01249e-05
0.49	0.866063	3.82185e-05
0.5	0.864188	3.64032e-05
0.51	0.862336	3.46745e-05
0.52	0.860508	3.30284e-05
0.53	0.858704	3.14608e-05
0.54	0.856922	2.99679e-05
0.55	0.855163	2.85462e-05
0.56	0.853427	2.71923e-05
0.57	0.851712	2.5903e-05
0.58	0.850018	2.4675e-05
0.59	0.848346	2.35056e-05
0.6	0.846694	2.23918e-05
0.61	0.845063	2.1331e-05
0.62	0.843451	2.03207e-05
0.63	0.84186	1.93585e-05
0.64	0.840288	1.84421e-05
0.65	0.838735	1.75692e-05
0.66	0.8372	1.67379e-05
0.67	0.835684	1.5946e-05
0.68	0.834187	1.51918e-05
0.69	0.832707	1.44734e-05
0.7	0.831245	1.37891e-05
0.71	0.8298	1.31373e-05
0.72	0.828372	1.25165e-05
0.73	0.826961	1.19251e-05
0.74	0.825567	1.13618e-05
0.75	0.824188	1.08252e-05
0.76	0.822826	1.0314e-05
0.77	0.82148	9.82706e-06
0.78	0.820149	9.36322e-06
0.79	0.818834	8.92135e-06
